,PL6C9F~1,
Wavenumbers [1/cm],Intensity,
1681.122,322.22695,
1678.211,316.1821,
1675.301,329.08492,
1672.390,320.14893,
1669.480,328.0528,
1666.569,320.0645,
1663.659,392.66769,
1660.748,365.47207,
1657.837,383.14687,
1654.927,383.91414,
1652.016,374.88201,
1649.106,364.31713,
1646.195,334.28287,
1643.285,422.19336,
1640.374,424.58145,
1637.463,399.30515,
1634.553,409.62745,
1631.642,443.70047,
1628.732,496.0776,
1625.821,488.13547,
1622.911,504.03484,
1620.000,527.82263,
1617.089,579.09017,
1614.179,597.61738,
1611.268,632.7866,
1608.358,654.14171,
1605.447,704.15397,
1602.536,708.05689,
1599.626,723.76386,
1596.715,715.14139,
1593.805,698.02703,
1590.894,710.21572,
1587.984,693.07097,
1585.073,656.94315,
1582.162,645.2808,
1579.252,671.12894,
1576.341,631.46439,
1573.431,620.90817,
1570.520,617.30311,
1567.610,587.81084,
1564.699,607.12619,
1561.788,606.15328,
1558.878,594.98013,
1555.967,552.48512,
1553.057,542.96972,
1550.146,525.77233,
1547.235,505.22174,
1544.325,521.48415,
1541.414,547.92614,
1538.504,541.71092,
1535.593,514.95214,
1532.683,498.44985,
1529.772,510.51224,
1526.861,533.73431,
1523.951,531.27963,
1521.040,512.16273,
1518.130,515.11719,
1515.219,557.20582,
1512.309,524.91327,
1509.398,512.76948,
1506.487,515.84937,
1503.577,517.36156,
1500.666,509.25157,
1497.756,528.94739,
1494.845,559.36294,
1491.934,469.15965,
1489.024,479.74707,
1486.113,511.65033,
1483.203,478.59829,
1480.292,419.82027,
1477.382,517.62201,
1474.471,475.59565,
1471.560,469.63832,
1468.650,462.82607,
1465.739,461.60843,
1462.829,460.5441,
1459.918,458.67749,
1457.008,476.89446,
1454.097,497.36011,
1451.186,496.55053,
1448.276,476.84211,
1445.365,431.29957,
1442.455,394.05778,
1439.544,414.82433,
1436.633,390.49441,
1433.723,409.75415,
1430.812,399.09064,
1427.902,387.50053,
1424.991,445.31404,
1422.081,386.57151,
1419.170,402.72651,
1416.259,426.37658,
1413.349,403.18108,
1410.438,409.52015,
1407.528,409.68758,
1404.617,417.86756,
1401.707,399.62798,
1398.796,342.6111,
1395.885,320.00701,
1392.975,330.14538,
1390.064,328.96079,
1387.154,369.21812,
1384.243,355.88413,
1381.332,358.83312,
1378.422,275.44873,
1375.511,262.3338,
1372.601,335.85063,
1369.690,337.83889,
1366.780,374.35065,
1363.869,405.91931,
1360.958,422.0476,
1358.048,439.77117,
1355.137,457.01026,
1352.227,469.61523,
1349.316,487.01221,
1346.406,499.65463,
1343.495,487.88283,
1340.584,486.12465,
1337.674,510.84021,
1334.763,525.26614,
1331.853,528.97507,
1328.942,556.69839,
1326.032,534.84076,
1323.121,538.75754,
1320.210,572.09143,
1317.300,596.56871,
1314.389,624.70876,
1311.479,638.13476,
1308.568,640.25992,
1305.657,652.8201,
1302.747,648.07612,
1299.836,705.45918,
1296.926,722.25319,
1294.015,725.01116,
1291.105,746.258,
1288.194,789.06215,
1285.283,774.06489,
1282.373,762.22657,
1279.462,787.47743,
1276.552,828.17233,
1273.641,821.27491,
1270.731,790.29666,
1267.820,833.27978,
1264.909,844.53113,
1261.999,810.29281,
1259.088,787.48978,
1256.178,818.67034,
1253.267,787.29962,
1250.356,778.83402,
1247.446,789.51263,
1244.535,783.24111,
1241.625,769.7213,
1238.714,757.91597,
1235.804,736.83857,
1232.893,750.74904,
1229.982,755.43164,
1227.072,764.48476,
1224.161,760.08198,
1221.251,759.125,
1218.340,726.08659,
1215.430,686.65412,
1212.519,689.49918,
1209.608,721.92126,
1206.698,719.78417,
1203.787,682.40643,
1200.877,739.12798,
1197.966,755.31284,
1195.055,750.15226,
1192.145,794.95695,
1189.234,825.04722,
1186.324,854.94528,
1183.413,858.10975,
1180.503,858.01131,
1177.592,877.93271,
1174.681,820.49144,
1171.771,816.16621,
1168.860,817.95239,
1165.950,825.38161,
1163.039,811.76014,
1160.129,815.15254,
1157.218,818.75985,
1154.307,816.6091,
1151.397,829.55216,
1148.486,863.47084,
1145.576,885.81214,
1142.665,832.53737,
1139.754,846.02483,
1136.844,872.53469,
1133.933,859.83777,
1131.023,824.76907,
1128.112,810.62391,
1125.202,828.23127,
1122.291,841.25034,
1119.380,842.15965,
1116.470,845.68976,
1113.559,827.56702,
1110.649,827.36377,
1107.738,834.41154,
1104.828,831.46741,
1101.917,823.01261,
1099.006,830.7331,
1096.096,854.43733,
1093.185,810.5372,
1090.275,811.98062,
1087.364,837.1393,
1084.453,840.81296,
1081.543,832.49567,
1078.632,830.06518,
1075.722,833.62948,
1072.811,841.17989,
1069.901,856.02532,
1066.990,874.09996,
1064.079,886.29117,
1061.169,868.58525,
1058.258,865.52351,
1055.348,881.5975,
1052.437,871.6491,
1049.527,864.8299,
1046.616,883.07531,
1043.705,852.75287,
1040.795,869.30369,
1037.884,871.48156,
1034.974,874.0219,
1032.063,892.92522,
1029.153,874.89066,
1026.242,889.59492,
1023.331,879.29236,
1020.421,900.82645,
1017.510,921.77024,
1014.600,923.35812,
1011.689,912.69965,
1008.778,911.03095,
1005.868,922.18678,
1002.957,929.06961,
1000.047,926.485,
997.136,945.09407,
994.226,971.61711,
991.315,984.3849,
988.404,970.50487,
985.494,931.7963,
982.583,961.77577,
979.673,955.88195,
976.762,925.7054,
973.852,912.87113,
970.941,915.08653,
968.030,903.57587,
965.120,906.28968,
962.209,945.50662,
959.299,940.79301,
956.388,956.28371,
953.477,961.43829,
950.567,959.45761,
947.656,995.34243,
944.746,981.74954,
941.835,964.92873,
938.925,984.81481,
936.014,990.04343,
933.103,968.29504,
930.193,942.12378,
927.282,944.8418,
924.372,921.16481,
921.461,957.15421,
