,PLDA91~1,
Raman shift [1/cm],Intensity,
1439.544,1287.15,
1436.633,1314.5277,
1433.723,1301.3848,
1430.812,1279.5116,
1427.902,1288.8436,
1424.991,1213.9703,
1422.081,1193.2755,
1419.170,1207.1781,
1416.259,1196.664,
1413.349,1192.1145,
1410.438,1177.6294,
1407.528,1194.156,
1404.617,1217.1933,
1401.707,1217.7358,
1398.796,1210.2089,
1395.885,1223.0936,
1392.975,1234.0621,
1390.064,1208.973,
1387.154,1179.6429,
1384.243,1131.7262,
1381.332,1080.8223,
1378.422,1134.0547,
1375.511,1200.5661,
1372.601,1264.2918,
1369.690,1342.4889,
1366.780,1445.709,
1363.869,1429.6688,
1360.958,1409.3433,
1358.048,1431.5441,
1355.137,1504.8732,
1352.227,1550.1348,
1349.316,1586.0074,
1346.406,1649.4319,
1343.495,1652.8393,
1340.584,1688.4461,
1337.674,1718.3435,
1334.763,1783.4013,
1331.853,1803.8004,
1328.942,1825.0827,
1326.032,1829.2562,
1323.121,1846.6672,
1320.210,1905.2327,
1317.300,1918.0497,
1314.389,1909.6528,
1311.479,1910.1881,
1308.568,1938.7195,
1305.657,1995.4013,
1302.747,2020.363,
1299.836,2075.9076,
1296.926,2118.1115,
1294.015,2214.6405,
1291.105,2211.5807,
1288.194,2335.2289,
1285.283,2350.8729,
1282.373,2412.3357,
1279.462,2452.174,
1276.552,2468.4203,
1273.641,2493.0783,
1270.731,2500.3907,
1267.820,2504.0507,
1264.909,2541.8222,
1261.999,2499.5584,
1259.088,2497.7342,
1256.178,2489.9169,
1253.267,2419.5774,
1250.356,2372.2121,
1247.446,2339.6763,
1244.535,2308.2813,
1241.625,2264.3843,
1238.714,2200.4047,
1235.804,2143.0959,
1232.893,2138.9979,
1229.982,2146.2026,
1227.072,2074.6829,
1224.161,2078.8705,
1221.251,1986.8168,
1218.340,1928.0647,
1215.430,1925.1862,
1212.519,1906.5539,
1209.608,1873.3338,
1206.698,1881.2635,
1203.787,1904.2079,
1200.877,1925.8538,
1197.966,1961.8202,
1195.055,1977.277,
1192.145,2068.2835,
1189.234,2135.9037,
1186.324,2158.2615,
1183.413,2174.1986,
1180.503,2192.625,
1177.592,2194.019,
1174.681,2195.964,
1171.771,2175.1936,
1168.860,2069.809,
1165.950,2022.5357,
1163.039,2015.0218,
1160.129,1993.2105,
1157.218,1968.0103,
1154.307,1960.9642,
1151.397,1950.9843,
1148.486,1914.5674,
1145.576,1958.0445,
1142.665,1921.6401,
1139.754,1932.4567,
1136.844,1872.5977,
1133.933,1830.9623,
1131.023,1841.8693,
1128.112,1870.2672,
1125.202,1871.8617,
1122.291,1851.6277,
1119.380,1858.9368,
1116.470,1890.7078,
1113.559,1896.1715,
1110.649,1892.0411,
1107.738,1892.8399,
1104.828,1886.4708,
1101.917,1878.6548,
1099.006,1892.5528,
1096.096,1902.2163,
1093.185,1911.8743,
1090.275,1926.3826,
1087.364,1900.8078,
1084.453,1876.9382,
1081.543,1894.48,
1078.632,1921.3571,
1075.722,1909.5056,
1072.811,1916.0737,
1069.901,1894.2422,
1066.990,1911.2166,
1064.079,1959.1779,
1061.169,1996.194,
1058.258,1993.1091,
1055.348,1988.8504,
1052.437,2026.2295,
1049.527,1995.5719,
1046.616,2045.964,
1043.705,2068.5818,
1040.795,2047.4463,
1037.884,2041.7283,
1034.974,2058.0735,
1032.063,2068.4789,
1029.153,2064.5331,
1026.242,2088.7519,
1023.331,2087.1252,
1020.421,2110.3264,
1017.510,2129.0291,
1014.600,2138.1626,
1011.689,2148.7518,
1008.778,2169.9971,
1005.868,2190.6134,
1002.957,2300.7388,
1000.047,2401.345,
997.136,2467.8645,
994.226,2493.9634,
991.315,2471.8775,
988.404,2406.1137,
985.494,2345.3975,
982.583,2290.5779,
979.673,2295.063,
976.762,2283.7732,
973.852,2280.5812,
970.941,2273.7313,
968.030,2241.2899,
965.120,2284.5785,
962.209,2273.4954,
959.299,2287.9147,
956.388,2300.2246,
953.477,2289.006,
950.567,2277.0819,
947.656,2307.6277,
944.746,2315.2737,
941.835,2313.1956,
938.925,2304.7284,
936.014,2328.4454,
933.103,2335.1455,
930.193,2294.0294,
927.282,2277.6544,
924.372,2241.2933,
921.461,2260.9262,
918.551,2216.1791,
915.640,2172.9506,
912.729,2156.6958,
909.819,2136.4085,
906.908,2187.7964,
903.998,2160.4012,
901.087,2207.3645,
898.176,2226.2179,
895.266,2217.7034,
892.355,2241.0327,
889.445,2307.3348,
886.534,2331.8363,
883.624,2318.4585,
880.713,2336.6739,
877.802,2358.8037,
874.892,2341.6973,
871.981,2297.9012,
869.071,2309.597,
866.160,2296.4459,
863.250,2295.9154,
860.339,2296.6134,
857.428,2293.7469,
854.518,2318.614,
851.607,2283.6671,
848.697,2267.3077,
845.786,2261.5871,
842.875,2279.5006,
839.965,2305.1053,
837.054,2262.0716,
834.144,2301.8517,
831.233,2312.9581,
828.323,2268.1353,
825.412,2221.2689,
822.501,2226.9443,
819.591,2250.9098,
816.680,2209.9583,
813.770,2161.4083,
810.859,2141.7837,
807.949,2147.2787,
805.038,2147.6427,
802.127,2114.7176,
799.217,2131.7506,
796.306,2110.814,
793.396,2100.5259,
790.485,2112.9922,
787.574,2096.0609,
784.664,2107.5425,
781.753,2129.7545,
778.843,2132.2738,
775.932,2125.2423,
773.022,2129.9217,
770.111,2151.1788,
767.200,2167.8512,
764.290,2155.8665,
761.379,2150.7146,
758.469,2153.8821,
755.558,2124.625,
752.648,2124.625,
749.737,2122.0138,
746.826,2076.8002,
743.916,2005.1247,
741.005,1932.1094,
738.095,1777.0409,
735.184,1677.1082,
732.274,1636.2106,
729.363,1708.9841,
726.452,1887.5051,
723.542,1997.5826,
720.631,2050.2619,
717.721,2078.3733,
714.810,2092.4318,
711.899,2095.9913,
708.989,2084.6944,
706.078,2062.9898,
703.168,2048.5167,
700.257,2035.1987,
697.347,2022.0166,
694.436,2012.7996,
691.525,2019.23,
688.615,2013.707,
685.704,2019.554,
682.794,2024.6676,
679.883,1998.6971,
676.973,2000.2998,
674.062,2015.3009,
671.151,2038.0899,
668.241,2057.3397,
665.330,2059.8897,
662.420,2065.4808,
659.509,2020.275,
656.598,1993.625,
653.688,2015.249,
650.777,2086.9229,
647.867,2066.2184,
644.956,2061.0058,
642.046,2047.7725,
639.135,2031.0923,
636.224,2036.7802,
633.314,2067.7438,
630.403,2078.5811,
627.493,2074.0957,
624.582,2072.4536,
621.672,2112.0533,
618.761,2099.1862,
615.850,2078.0954,
612.940,2096.0462,
610.029,2160.1761,
607.119,2181.4961,
604.208,2165.8747,
601.297,2163.6102,
598.387,2168.9116,
595.476,2165.4654,
592.566,2121.3895,
589.655,2169.3435,
586.745,2169.2472,
583.834,2116.2304,
580.923,2068.4781,
578.013,2044.1513,
575.102,2034.7571,
572.192,2041.1998,
569.281,2066.1858,
566.371,2119.4042,
563.460,2145.789,
560.549,2163.8833,
557.639,2171.2079,
554.728,2165.3148,
551.818,2176.2392,
548.907,2176.1873,
545.996,2176.1802,
543.086,2174.7665,
540.175,2156.8576,
537.265,2157.0736,
534.354,2180.7028,
531.444,2198.3305,
528.533,2183.7973,
525.622,2172.1581,
522.712,2202.3897,
519.801,2242.719,
516.891,2272.2165,
513.980,2265.2478,
511.070,2273.7815,
508.159,2311.0546,
505.248,2343.1185,
502.338,2330.0091,
499.427,2343.1302,
496.517,2391.8775,
493.606,2420.9046,
490.695,2414.3323,
487.785,2448.2031,
484.874,2465.257,
481.964,2454.1833,
479.053,2424.477,
476.143,2402.974,
473.232,2436.8758,
470.321,2441.38,
467.411,2425.2935,
464.500,2406.4117,
461.590,2397.9885,
458.679,2397.8262,
455.769,2402.1455,
452.858,2407.3069,
449.947,2404.2511,
447.037,2400.5912,
444.126,2404.1705,
441.216,2414.6833,
438.305,2420.7788,
435.395,2436.7046,
432.484,2421.7036,
429.573,2394.9501,
426.663,2417.7543,
423.752,2442.6398,
420.842,2428.8773,
417.931,2423.4647,
415.020,2503.8507,
412.110,2490.5295,
409.199,2494.8939,
406.289,2522.1056,
403.378,2572.5507,
400.468,2550.6269,
397.557,2510.2053,
394.646,2474.0461,
391.736,2460.6592,
388.825,2430.49,
385.915,2391.8222,
383.004,2379.9022,
380.094,2421.9592,
377.183,2546.1178,
374.272,2582.7961,
371.362,2617.001,
368.451,2695.3089,
365.541,2706.5669,
362.630,2690.5066,
359.719,2675.8089,
356.809,2682.5216,
353.898,2746.9182,
350.988,2734.7882,
348.077,2707.8825,
345.167,2703.7007,
342.256,2705.1948,
339.345,2714.6594,
336.435,2725.6785,
333.524,2734.0008,
330.614,2745.9233,
327.703,2762.4601,
324.793,2766.6335,
321.882,2743.7242,
318.971,2784.6135,
316.061,2810.8329,
313.150,2834.2488,
310.240,2868.3861,
307.329,2880.3446,
304.418,2891.0083,
301.508,2894.4896,
298.597,2878.9409,
295.687,2937.8994,
292.776,3014.1253,
289.866,3114.5655,
286.955,3275.6077,
284.044,3401.0899,
281.134,3545.0506,
278.223,3707.3789,
275.313,3835.5917,
272.402,3915.4872,
269.492,3998.3012,
266.581,4098.4612,
263.670,4152.1294,
260.760,4225.6095,
257.849,4284.7841,
254.939,4302.3972,
252.028,4377.181,
249.117,4364.5105,
246.207,4303.8815,
243.296,4258.4952,
240.386,4265.3789,
237.475,4245.5003,
234.565,4183.9542,
231.654,4059.0586,
228.743,3973.9375,
225.833,3883.3661,
222.922,3773.5866,
220.012,3729.8733,
217.101,3660.1741,
214.191,3599.7837,
211.280,3590.3267,
208.369,3580.8784,
205.459,3540.2932,
202.548,3481.9899,
199.638,3460.9461,
196.727,3476.2163,
193.816,3490.324,
190.906,3491.1487,
187.995,3534.5902,
185.085,3530.7108,
182.174,3505.7073,
179.264,3491.252,
176.353,3540.2465,
173.442,3563.5492,
170.532,3550.1726,
167.621,3511.9609,
164.711,3476.3977,
161.800,3395.3788,
158.890,3224.8033,
155.979,3112.5488,
153.068,2903.1823,
150.158,2604.7728,
147.247,2252.9761,
144.337,1852.8671,
141.426,1450.5763,
138.516,1067.0395,
135.605,771.66067,
132.694,527.02333,
129.784,336.16206,
126.873,226.03207,
123.963,157.53032,
121.052,112.42659,
118.141,86.726116,
115.231,62.465608,
112.320,48.812277,
109.410,42.670513,
106.499,37.685427,
103.589,30.462201,
100.678,25.896622,
97.767,26.607559,
94.857,21.774077,
