,PLDDA2~1,
Raman shift [1/cm],Intensity,
1197.966,1355.7951,
1195.055,1386.467,
1192.145,1435.3279,
1189.234,1448.4524,
1186.324,1494.1181,
1183.413,1522.151,
1180.503,1523.252,
1177.592,1550.5884,
1174.681,1542.1884,
1171.771,1509.8022,
1168.860,1468.72,
1165.950,1442.9802,
1163.039,1450.3213,
1160.129,1429.7964,
1157.218,1428.095,
1154.307,1433.1351,
1151.397,1413.8354,
1148.486,1416.4532,
1145.576,1396.7092,
1142.665,1372.7356,
1139.754,1372.3773,
1136.844,1357.3433,
1133.933,1343.7119,
1131.023,1341.1105,
1128.112,1339.4649,
1125.202,1334.6485,
1122.291,1339.8645,
1119.380,1313.0965,
1116.470,1348.3976,
1113.559,1349.657,
1110.649,1348.0952,
1107.738,1352.5724,
1104.828,1346.3475,
1101.917,1331.75,
1099.006,1334.9046,
1096.096,1351.4701,
1093.185,1379.5662,
1090.275,1351.807,
1087.364,1342.0055,
1084.453,1337.9377,
1081.543,1346.2673,
1078.632,1357.5562,
1075.722,1356.3232,
1072.811,1372.1844,
1069.901,1378.2972,
1066.990,1352.8834,
1064.079,1373.9706,
1061.169,1399.4529,
1058.258,1431.7712,
1055.348,1449.6977,
1052.437,1424.0298,
1049.527,1442.3612,
1046.616,1484.065,
1043.705,1475.647,
1040.795,1491.5436,
1037.884,1498.7041,
1034.974,1505.9227,
1032.063,1522.3655,
1029.153,1516.8272,
1026.242,1534.1264,
1023.331,1505.5852,
1020.421,1507.4181,
1017.510,1536.5227,
1014.600,1566.4774,
1011.689,1574.9038,
1008.778,1567.2949,
1005.868,1594.3446,
1002.957,1660.5919,
1000.047,1756.654,
997.136,1781.7021,
994.226,1792.8113,
991.315,1804.8342,
988.404,1782.0482,
985.494,1757.4623,
982.583,1744.614,
979.673,1755.188,
976.762,1749.7693,
973.852,1735.6778,
970.941,1734.7523,
968.030,1753.9003,
965.120,1754.7214,
962.209,1747.901,
959.299,1753.8325,
956.388,1728.7518,
953.477,1729.7675,
950.567,1762.75,
947.656,1763.5299,
944.746,1769.4768,
941.835,1760.0322,
938.925,1774.8593,
936.014,1762.5053,
933.103,1748.1057,
930.193,1759.5502,
927.282,1756.4127,
924.372,1713.2868,
921.461,1684.9216,
918.551,1658.7411,
915.640,1633.0017,
912.729,1620.0437,
909.819,1632.7508,
906.908,1640.3327,
903.998,1652.6805,
901.087,1637.2913,
898.176,1631.522,
895.266,1639.6066,
892.355,1660.0424,
889.445,1736.4158,
886.534,1744.2638,
883.624,1760.5523,
880.713,1774.3846,
877.802,1768.9387,
874.892,1746.3823,
871.981,1744.2568,
869.071,1723.3715,
866.160,1743.2086,
863.250,1734.3545,
860.339,1722.4776,
857.428,1729.3064,
854.518,1713.6186,
851.607,1674.5114,
848.697,1680.1307,
845.786,1666.5483,
842.875,1645.9536,
839.965,1646.6774,
837.054,1673.7035,
834.144,1669.5597,
831.233,1674.0829,
828.323,1669.826,
825.412,1655.0229,
822.501,1640.6862,
819.591,1651.4294,
816.680,1602.8717,
813.770,1580.0995,
810.859,1571.945,
807.949,1566.4427,
805.038,1561.6328,
802.127,1593.7347,
799.217,1553.5173,
796.306,1537.6149,
793.396,1542.2004,
790.485,1557.6992,
787.574,1582.6913,
784.664,1554.8075,
781.753,1549.75,
778.843,1542.8888,
775.932,1547.7868,
773.022,1576.2716,
770.111,1586.0825,
767.200,1592.8405,
764.290,1583.7703,
761.379,1555.2689,
758.469,1530.6558,
755.558,1556.1422,
752.648,1535.7771,
749.737,1508.9024,
746.826,1496.2838,
743.916,1472.0159,
741.005,1408.274,
738.095,1386.3533,
735.184,1259.3296,
732.274,1213.4313,
729.363,1259.7875,
726.452,1361.8528,
723.542,1456.5518,
720.631,1522.9131,
717.721,1541.75,
714.810,1535.2785,
711.899,1517.9777,
708.989,1488.9284,
706.078,1488.75,
703.168,1490.5717,
700.257,1498.3512,
697.347,1498.8379,
694.436,1467.6883,
691.525,1502.252,
688.615,1482.7068,
685.704,1462.4331,
682.794,1466.3456,
679.883,1496.885,
676.973,1477.6521,
674.062,1464.1788,
671.151,1470.5849,
668.241,1491.7062,
665.330,1510.2206,
662.420,1499.0383,
659.509,1490.4007,
656.598,1487.6155,
653.688,1496.1114,
650.777,1520.372,
647.867,1509.2234,
644.956,1498.0819,
642.046,1487.3602,
639.135,1474.0906,
636.224,1452.8415,
633.314,1471.1021,
630.403,1496.4424,
627.493,1510.3659,
624.582,1512.9283,
621.672,1527.1842,
618.761,1514.0711,
615.850,1516.9128,
612.940,1523.0915,
610.029,1528.3533,
607.119,1555.9904,
604.208,1563.0101,
601.297,1561.7589,
598.387,1555.3104,
595.476,1547.7899,
592.566,1558.8089,
589.655,1541.3133,
586.745,1529.0141,
583.834,1519.5037,
580.923,1493.6837,
578.013,1482.6974,
575.102,1472.2934,
572.192,1476.754,
569.281,1496.9996,
566.371,1509.5216,
563.460,1538.9687,
560.549,1555.6228,
557.639,1558.8701,
554.728,1554.0949,
551.818,1559.5571,
548.907,1575.3759,
545.996,1594.4697,
543.086,1607.0658,
540.175,1594.6075,
537.265,1577.8159,
534.354,1590.3126,
531.444,1605.6848,
528.533,1598.7985,
525.622,1613.5415,
522.712,1652.5484,
519.801,1669.6399,
516.891,1671.1749,
513.980,1727.6985,
511.070,1736.9761,
508.159,1742.093,
505.248,1755.0134,
502.338,1784.1733,
499.427,1832.7987,
496.517,1833.3056,
493.606,1837.2097,
490.695,1864.071,
487.785,1866.3803,
484.874,1893.2452,
481.964,1899.8597,
479.053,1877.5347,
476.143,1830.6889,
473.232,1834.2246,
470.321,1830.9111,
467.411,1831.3348,
464.500,1849.9937,
461.590,1820.1298,
458.679,1818.9038,
455.769,1837.6676,
452.858,1869.4086,
449.947,1904.5494,
447.037,1903.8621,
444.126,1894.6833,
441.216,1884.1782,
438.305,1863.6061,
435.395,1887.6311,
432.484,1896.749,
429.573,1881.9399,
426.663,1848.4937,
423.752,1888.2926,
420.842,1862.4515,
417.931,1833.2361,
415.020,1915.8971,
412.110,1931.919,
409.199,1949.9529,
406.289,1968.4236,
403.378,1982.7705,
400.468,1988.8184,
397.557,1979.4387,
394.646,1963.3631,
391.736,1946.6494,
388.825,1881.0313,
385.915,1883.5699,
383.004,1910.4597,
380.094,1931.5159,
377.183,1966.1298,
374.272,2019.7152,
371.362,2062.9309,
368.451,2078.0235,
365.541,2082.5268,
362.630,2111.6083,
359.719,2134.454,
356.809,2133.7047,
353.898,2132.9559,
350.988,2127.8676,
348.077,2128.6869,
345.167,2142.5285,
342.256,2177.6408,
339.345,2190.9386,
336.435,2174.5961,
333.524,2125.5016,
330.614,2149.3466,
327.703,2164.9645,
324.793,2184.3506,
321.882,2217.7157,
318.971,2203.5903,
316.061,2198.2617,
313.150,2194.9786,
310.240,2186.0732,
307.329,2232.916,
304.418,2249.0143,
301.508,2237.4792,
298.597,2206.3817,
295.687,2215.2631,
292.776,2229.9167,
289.866,2273.2653,
286.955,2418.0555,
284.044,2517.8124,
281.134,2583.3753,
278.223,2623.7558,
275.313,2671.6513,
272.402,2673.6174,
269.492,2713.06,
266.581,2815.6898,
263.670,2884.7967,
260.760,2917.2872,
257.849,2947.7404,
254.939,3002.0477,
252.028,3015.7792,
249.117,2988.3152,
246.207,2941.6053,
243.296,2910.1278,
240.386,2940.7056,
237.475,2912.2634,
234.565,2827.8571,
231.654,2765.0441,
228.743,2740.818,
225.833,2705.3093,
222.922,2642.0026,
220.012,2625.9744,
217.101,2573.6413,
214.191,2525.8428,
211.280,2529.4801,
208.369,2518.985,
205.459,2510.556,
202.548,2509.2598,
199.638,2529.5779,
196.727,2498.6008,
193.816,2475.4592,
190.906,2482.7912,
187.995,2512.4762,
185.085,2560.5785,
182.174,2603.7294,
179.264,2607.3432,
176.353,2609.0316,
173.442,2610.4751,
170.532,2607.0456,
167.621,2566.671,
164.711,2517.3836,
161.800,2474.394,
158.890,2449.9233,
155.979,2316.6006,
153.068,2168.5709,
150.158,1999.3192,
147.247,1761.677,
144.337,1461.7158,
141.426,1154.4327,
138.516,864.0918,
135.605,606.59867,
132.694,412.32499,
129.784,272.35319,
126.873,177.95606,
123.963,125.17486,
121.052,92.667769,
118.141,74.820219,
115.231,46.327186,
112.320,30.937277,
109.410,25.75,
106.499,25.75,
103.589,25.189746,
100.678,22.577026,
97.767,16.889526,
94.857,9.8201095,
91.946,7.1531109,
89.036,8.7660812,
86.125,15.148929,
83.215,14.626319,
80.304,11.552837,
77.393,8.0119869,
74.483,11.68081,
71.572,12.662944,
68.662,10.403663,
65.751,6.8714071,
62.840,9.1219139,
59.930,12.000855,
57.019,9.1805273,
54.109,6.3613566,
51.198,5.6548278,
48.288,7.699038,
45.377,1.3686354,
42.466,2.0477547,
39.556,6.5197628,
36.645,5.1153824,
33.735,-0.96173312,
30.824,-4.0411303,
27.914,2.9706222,
25.003,5.6179124,
22.092,7.0729046,
19.182,7.8872972,
16.271,12.084238,
13.361,20.493328,
10.450,34.67778,
7.539,63.30871,
4.629,66.6194,
1.718,60.825646,
-1.192,54.551346,
-4.103,19.112839,
-7.013,-2.9459776,
-9.924,-2.25,
