,PLIQUI~1,
Wavenumbers [1/cm],Intensity,
1745.155,352.1491,
1742.244,334.87595,
1739.334,307.31148,
1736.423,331.46281,
1733.512,348.01322,
1730.602,356.85517,
1727.691,344.02179,
1724.781,354.31995,
1721.870,343.08443,
1718.960,381.30884,
1716.049,359.33294,
1713.138,376.45989,
1710.228,368.19084,
1707.317,353.991,
1704.407,371.24134,
1701.496,391.60596,
1698.586,381.3632,
1695.675,412.18909,
1692.764,385.02662,
1689.854,369.98129,
1686.943,384.83539,
1684.033,374.6482,
1681.122,380.27305,
1678.211,384.33693,
1675.301,453.16224,
1672.390,416.27631,
1669.480,383.51137,
1666.569,401.47954,
1663.659,486.80337,
1660.748,452.62566,
1657.837,465.94361,
1654.927,491.18757,
1652.016,483.05911,
1649.106,471.15839,
1646.195,502.83055,
1643.285,522.42318,
1640.374,566.12065,
1637.463,508.13161,
1634.553,550.46856,
1631.642,623.66816,
1628.732,650.44018,
1625.821,661.39528,
1622.911,692.20031,
1620.000,762.48049,
1617.089,825.12127,
1614.179,911.89331,
1611.268,961.55328,
1608.358,1032.9569,
1605.447,1072.2039,
1602.536,1094.8765,
1599.626,1107.4142,
1596.715,1133.7878,
1593.805,1088.0811,
1590.894,1077.9716,
1587.984,1090.3664,
1585.073,1006.4425,
1582.162,1013.082,
1579.252,981.36975,
1576.341,936.52608,
1573.431,936.77309,
1570.520,904.97803,
1567.610,933.1207,
1564.699,910.12351,
1561.788,856.93876,
1558.878,828.08526,
1555.967,809.82237,
1553.057,776.58217,
1550.146,749.69866,
1547.235,755.36218,
1544.325,772.85798,
1541.414,753.99231,
1538.504,758.57893,
1535.593,752.69939,
1532.683,734.61622,
1529.772,752.66873,
1526.861,737.87953,
1523.951,728.28382,
1521.040,746.18101,
1518.130,742.96895,
1515.219,764.9751,
1512.309,755.92453,
1509.398,743.67151,
1506.487,756.65861,
1503.577,736.58648,
1500.666,696.63547,
1497.756,740.3583,
1494.845,761.73356,
1491.934,698.3561,
1489.024,692.58114,
1486.113,701.64716,
1483.203,683.72348,
1480.292,650.82859,
1477.382,674.47193,
1474.471,664.49266,
1471.560,637.60502,
1468.650,599.31096,
1465.739,592.42039,
1462.829,614.27952,
1459.918,641.84475,
1457.008,661.99048,
1454.097,669.83716,
1451.186,672.87016,
1448.276,652.392,
1445.365,604.30233,
1442.455,575.4357,
1439.544,551.38686,
1436.633,586.06319,
1433.723,537.00113,
1430.812,535.77877,
1427.902,553.17205,
1424.991,544.64219,
1422.081,500.3361,
1419.170,528.34523,
1416.259,572.25803,
1413.349,539.0815,
1410.438,518.3772,
1407.528,498.63772,
1404.617,504.64033,
1401.707,492.05762,
1398.796,444.9415,
1395.885,427.77668,
1392.975,419.87394,
1390.064,389.2677,
1387.154,425.27205,
1384.243,409.92516,
1381.332,375.90426,
1378.422,424.99365,
1375.511,359.41898,
1372.601,440.39476,
1369.690,480.80668,
1366.780,455.48563,
1363.869,493.14305,
1360.958,501.13197,
1358.048,515.36098,
1355.137,553.60783,
1352.227,571.34229,
1349.316,597.6478,
1346.406,654.12262,
1343.495,646.69376,
1340.584,597.90997,
1337.674,644.65979,
1334.763,633.26839,
1331.853,709.30134,
1328.942,640.32841,
1326.032,684.39034,
1323.121,705.26657,
1320.210,745.00064,
1317.300,769.86755,
1314.389,814.45912,
1311.479,838.39452,
1308.568,835.10184,
1305.657,847.88904,
1302.747,835.61592,
1299.836,927.42909,
1296.926,957.14412,
1294.015,973.69195,
1291.105,979.65825,
1288.194,1012.3247,
1285.283,996.7469,
1282.373,1034.203,
1279.462,1071.2572,
1276.552,1070.0836,
1273.641,1063.1711,
1270.731,1070.2571,
1267.820,1064.8964,
1264.909,1033.7154,
1261.999,1014.608,
1259.088,1020.9929,
1256.178,1070.193,
1253.267,1017.7666,
1250.356,963.48054,
1247.446,975.12463,
1244.535,990.41966,
1241.625,974.47503,
1238.714,963.97951,
1235.804,973.09832,
1232.893,961.62461,
1229.982,962.45509,
