,PLA569~1,
Raman shift [1/cm],Intensity,
1474.471,1217.0421,
1471.560,1245.8463,
1468.650,1239.593,
1465.739,1178.8238,
1462.829,1113.4128,
1459.918,1141.0067,
1457.008,1171.4556,
1454.097,1168.0195,
1451.186,1132.5438,
1448.276,1080.9561,
1445.365,1101.1969,
1442.455,1121.6576,
1439.544,1154.446,
1436.633,1126.3042,
1433.723,1107.7587,
1430.812,1089.5459,
1427.902,1113.2642,
1424.991,1098.1,
1422.081,1077.4405,
1419.170,1090.314,
1416.259,1013.2388,
1413.349,1030.8766,
1410.438,1044.0246,
1407.528,975.74464,
1404.617,1001.622,
1401.707,1030.7268,
1398.796,1004.3523,
1395.885,1011.2945,
1392.975,1025.7494,
1390.064,1004.8055,
1387.154,1008.1756,
1384.243,950.79373,
1381.332,860.93694,
1378.422,910.19448,
1375.511,1037.5967,
1372.601,1117.0369,
1369.690,1182.7733,
1366.780,1170.448,
1363.869,1214.7519,
1360.958,1273.238,
1358.048,1275.8256,
1355.137,1328.2841,
1352.227,1398.978,
1349.316,1431.9,
1346.406,1474.3554,
1343.495,1523.3062,
1340.584,1589.7674,
1337.674,1626.6986,
1334.763,1661.5424,
1331.853,1685.6504,
1328.942,1668.8357,
1326.032,1738.3996,
1323.121,1762.0346,
1320.210,1792.5937,
1317.300,1843.2194,
1314.389,1852.6941,
1311.479,1863.4015,
1308.568,1905.2456,
1305.657,1906.0152,
1302.747,1892.0791,
1299.836,1989.1705,
1296.926,2023.206,
1294.015,2057.2209,
1291.105,2163.4095,
1288.194,2170.4363,
1285.283,2258.1254,
1282.373,2343.617,
1279.462,2377.5661,
1276.552,2401.6015,
1273.641,2444.7441,
1270.731,2462.9235,
1267.820,2437.5965,
1264.909,2475.8668,
1261.999,2475.428,
1259.088,2415.228,
1256.178,2412.4815,
1253.267,2399.5827,
1250.356,2359.7305,
1247.446,2269.8708,
1244.535,2222.0937,
1241.625,2227.2398,
1238.714,2212.1887,
1235.804,2169.2561,
1232.893,2146.0118,
1229.982,2091.8891,
1227.072,2070.1616,
1224.161,2026.5998,
1221.251,2005.2238,
1218.340,1924.831,
1215.430,1900.1411,
1212.519,1905.4753,
1209.608,1878.9693,
1206.698,1854.2422,
1203.787,1884.022,
1200.877,1956.5136,
1197.966,1954.7152,
1195.055,2042.5096,
1192.145,2047.8575,
1189.234,2078.3622,
1186.324,2136.447,
1183.413,2174.4829,
1180.503,2169.1583,
1177.592,2137.3319,
1174.681,2107.6387,
1171.771,2114.3983,
1168.860,2104.5744,
1165.950,2038.3156,
1163.039,1991.1969,
1160.129,2015.9656,
1157.218,2039.2598,
1154.307,2027.4624,
1151.397,1997.9843,
1148.486,1955.1236,
1145.576,1964.5116,
1142.665,1984.9336,
1139.754,1930.4846,
1136.844,1929.5301,
1133.933,1922.3084,
1131.023,1910.7924,
1128.112,1898.6977,
1125.202,1888.6636,
1122.291,1906.6223,
1119.380,1900.0234,
1116.470,1940.6197,
1113.559,1968.0492,
1110.649,1935.9891,
1107.738,1929.5563,
1104.828,1943.7055,
1101.917,1951.0631,
1099.006,1959.522,
1096.096,1951.2914,
1093.185,1978.5094,
1090.275,1959.584,
1087.364,1969.0336,
1084.453,1973.3751,
1081.543,1962.8606,
1078.632,1950.6848,
1075.722,1951.634,
1072.811,1964.9973,
1069.901,1970.2369,
1066.990,1988.4083,
1064.079,1998.0691,
1061.169,2048.6752,
1058.258,2092.2833,
1055.348,2089.2183,
1052.437,2069.2488,
1049.527,2084.3369,
1046.616,2128.6472,
1043.705,2132.8542,
1040.795,2131.348,
1037.884,2166.5324,
1034.974,2190.8247,
1032.063,2175.248,
1029.153,2184.0404,
1026.242,2187.5003,
1023.331,2190.9581,
1020.421,2222.9946,
1017.510,2245.5894,
1014.600,2225.9804,
1011.689,2211.8605,
1008.778,2274.9556,
1005.868,2318.6521,
1002.957,2433.0792,
1000.047,2513.233,
997.136,2567.7533,
994.226,2582.4866,
991.315,2569.9715,
988.404,2553.0321,
985.494,2507.5126,
982.583,2457.8323,
979.673,2444.7718,
976.762,2456.7155,
973.852,2456.9008,
970.941,2454.9983,
968.030,2472.411,
965.120,2431.5391,
962.209,2411.0781,
959.299,2417.5405,
956.388,2450.1832,
953.477,2463.1714,
950.567,2455.8992,
947.656,2472.6223,
944.746,2464.9763,
941.835,2480.0115,
938.925,2472.4381,
936.014,2471.1774,
933.103,2476.3312,
930.193,2466.2389,
927.282,2419.7543,
924.372,2403.6877,
921.461,2402.3614,
918.551,2364.2834,
915.640,2323.0268,
912.729,2300.0629,
909.819,2288.737,
906.908,2297.1613,
903.998,2293.6482,
901.087,2324.4503,
898.176,2353.1233,
895.266,2368.1164,
892.355,2379.2374,
889.445,2398.5405,
886.534,2452.8917,
883.624,2470.3533,
880.713,2503.736,
877.802,2519.0767,
874.892,2489.2127,
871.981,2470.0985,
869.071,2490.1484,
866.160,2505.3543,
863.250,2488.0843,
860.339,2471.9207,
857.428,2484.2164,
854.518,2503.8416,
851.607,2511.3303,
848.697,2481.6732,
845.786,2456.2077,
842.875,2454.0142,
839.965,2475.3727,
837.054,2501.625,
834.144,2501.625,
831.233,2496.2921,
828.323,2495.6033,
825.412,2489.254,
822.501,2462.6886,
819.591,2413.1047,
816.680,2412.4263,
813.770,2374.4083,
810.859,2346.6614,
807.949,2338.1445,
805.038,2324.8551,
802.127,2268.8824,
799.217,2273.3151,
796.306,2249.3816,
793.396,2234.8541,
790.485,2248.8366,
787.574,2263.5663,
784.664,2235.6825,
781.753,2285.6457,
778.843,2297.4324,
775.932,2296.4396,
773.022,2331.527,
770.111,2343.7906,
767.200,2276.1069,
764.290,2264.4489,
761.379,2282.6533,
758.469,2295.8582,
755.558,2281.1387,
752.648,2264.8467,
749.737,2245.9581,
746.826,2219.4424,
743.916,2184.943,
741.005,2137.7951,
738.095,2033.0629,
735.184,1865.457,
732.274,1823.6091,
729.363,1910.8885,
726.452,2067.0666,
723.542,2174.7159,
720.631,2237.9654,
717.721,2257.9164,
714.810,2260.0057,
711.899,2263.6349,
708.989,2276.5457,
706.078,2265.4068,
703.168,2258.3745,
700.257,2248.1987,
697.347,2237.625,
694.436,2236.7739,
691.525,2205.4255,
688.615,2248.9379,
685.704,2260.4939,
682.794,2233.1144,
679.883,2223.8957,
676.973,2274.3821,
674.062,2238.045,
671.151,2230.9115,
668.241,2238.4711,
665.330,2186.0074,
662.420,2236.3275,
659.509,2259.3236,
656.598,2266.625,
653.688,2265.0147,
650.777,2260.03,
647.867,2271.975,
644.956,2244.2866,
642.046,2227.2834,
639.135,2231.7211,
636.224,2239.9831,
633.314,2311.4376,
630.403,2316.0272,
627.493,2298.1754,
624.582,2289.569,
621.672,2311.7448,
618.761,2333.1434,
615.850,2330.2582,
612.940,2323.3081,
610.029,2330.0174,
607.119,2362.3923,
604.208,2420.296,
601.297,2418.6961,
598.387,2388.0325,
595.476,2374.6704,
592.566,2406.9402,
589.655,2406.794,
586.745,2386.2663,
583.834,2357.2571,
580.923,2334.2743,
578.013,2276.204,
575.102,2272.6704,
572.192,2304.1339,
569.281,2339.5634,
566.371,2311.3889,
563.460,2355.1859,
560.549,2359.0321,
557.639,2356.0532,
554.728,2393.0192,
551.818,2399.2617,
548.907,2401.2344,
545.996,2412.1223,
543.086,2427.4507,
540.175,2422.0001,
537.265,2391.9295,
534.354,2405.7095,
531.444,2430.9037,
528.533,2431.7905,
525.622,2434.1184,
522.712,2499.5476,
519.801,2523.6766,
516.891,2498.8506,
513.980,2519.7566,
511.070,2566.7032,
508.159,2609.9809,
505.248,2633.6207,
502.338,2625.6642,
499.427,2661.1685,
496.517,2702.3017,
493.606,2716.5302,
490.695,2702.5091,
487.785,2744.8476,
484.874,2768.4268,
481.964,2758.5222,
479.053,2728.6833,
476.143,2716.3959,
473.232,2720.6608,
470.321,2719.219,
467.411,2695.8707,
464.500,2639.5643,
461.590,2716.1384,
458.679,2718.915,
455.769,2709.2962,
452.858,2719.4776,
449.947,2698.8514,
447.037,2720.1089,
444.126,2743.6492,
441.216,2756.9479,
438.305,2764.5672,
435.395,2776.7708,
432.484,2810.9641,
429.573,2844.4124,
426.663,2817.8075,
423.752,2793.3076,
420.842,2811.4828,
417.931,2848.7189,
415.020,2863.1277,
412.110,2903.8637,
409.199,2940.6299,
406.289,2948.8662,
403.378,2903.6199,
400.468,2902.1079,
397.557,2904.7099,
394.646,2911.9345,
391.736,2921.5485,
388.825,2856.6847,
385.915,2801.968,
383.004,2790.0419,
380.094,2842.3104,
377.183,2914.5481,
374.272,2950.9084,
371.362,2959.3271,
368.451,2952.0504,
365.541,3041.3641,
362.630,3069.4487,
359.719,3072.329,
356.809,3072.8483,
353.898,3093.0659,
350.988,3075.2981,
348.077,3052.4305,
345.167,3045.9873,
342.256,3072.8818,
339.345,3089.1279,
336.435,3095.5146,
333.524,3093.1652,
330.614,3110.3038,
327.703,3097.1424,
324.793,3100.5061,
321.882,3160.625,
318.971,3160.625,
316.061,3168.438,
313.150,3176.394,
310.240,3175.6519,
307.329,3166.3347,
304.418,3157.1536,
301.508,3149.2465,
298.597,3144.0636,
295.687,3118.5671,
292.776,3153.2919,
289.866,3241.8229,
286.955,3351.893,
284.044,3406.2075,
281.134,3501.942,
278.223,3629.4273,
275.313,3648.5855,
272.402,3750.7976,
269.492,3843.8047,
266.581,3893.2541,
263.670,3916.0447,
260.760,3929.9384,
257.849,3965.8805,
254.939,4049.5431,
252.028,4036.1481,
249.117,4035.1933,
246.207,4038.1627,
243.296,4028.6462,
240.386,4048.5207,
237.475,4051.9413,
234.565,4038.7047,
231.654,4032.8617,
228.743,3947.6213,
225.833,3900.26,
222.922,3931.7904,
220.012,3892.4484,
217.101,3850.1821,
214.191,3827.7117,
211.280,3854.6279,
208.369,3835.095,
205.459,3816.64,
202.548,3804.625,
199.638,3804.625,
196.727,3846.6888,
193.816,3875.5178,
190.906,3870.6504,
187.995,3871.3744,
185.085,3863.1136,
182.174,3860.285,
179.264,3884.8591,
176.353,3871.6055,
173.442,3900.6936,
170.532,3956.116,
167.621,3857.3424,
164.711,3761.7756,
161.800,3644.8195,
158.890,3484.3202,
155.979,3294.4916,
153.068,3047.5679,
150.158,2743.9634,
147.247,2375.6539,
144.337,1932.2747,
141.426,1504.898,
138.516,1137.8497,
135.605,803.01589,
132.694,543.29478,
129.784,354.58017,
126.873,246.59556,
123.963,171.13241,
121.052,114.47751,
118.141,73.7851,
115.231,67.229867,
112.320,57.846825,
109.410,48.215934,
106.499,46.079469,
103.589,42.823728,
100.678,34.106079,
97.767,17.043577,
94.857,15.932011,
91.946,16.834333,
89.036,19.415285,
86.125,24.379722,
83.215,22.970398,
80.304,21.582731,
77.393,24.41541,
74.483,18.07365,
71.572,13.900296,
68.662,12.07086,
65.751,6.4192514,
62.840,8.4786159,
59.930,11.875855,
57.019,9.0555273,
54.109,8.0278392,
51.198,8.2282186,
48.288,9.6136751,
45.377,8.206919,
42.466,8.861658,
39.556,10.049407,
36.645,6.538456,
33.735,4.0672546,
30.824,2.404113,
27.914,1.7029378,
25.003,5.3608249,
22.092,6.3333818,
19.182,3.3732885,
16.271,-4.3211029,
13.361,-32.662479,
10.450,-116.77299,
7.539,-403.78061,
4.629,-690.06824,
1.718,-910.61197,
-1.192,-983.11501,
-4.103,-676.38687,
-7.013,-328.87644,
-9.924,-0.375,
