,PL7DC6~1,
Raman shift [1/cm],Intensity,
1081.543,1781.9397,
1078.632,1777.6705,
1075.722,1767.2578,
1072.811,1779.6178,
1069.901,1793.59,
1066.990,1814.025,
1064.079,1814.5419,
1061.169,1812.625,
1058.258,1799.4969,
1055.348,1801.9081,
1052.437,1847.3452,
1049.527,1831.1285,
1046.616,1844.1609,
1043.705,1875.6848,
1040.795,1908.8882,
1037.884,1928.1881,
1034.974,1914.6315,
1032.063,1889.3017,
1029.153,1909.0671,
1026.242,1896.0927,
1023.331,1879.7927,
1020.421,1909.3888,
1017.510,1932.5894,
1014.600,1946.3919,
1011.689,1967.3129,
1008.778,2005.4217,
1005.868,2056.8026,
1002.957,2076.5908,
1000.047,2158.977,
997.136,2213.88,
994.226,2221.3636,
991.315,2185.4864,
988.404,2125.3291,
985.494,2087.7209,
982.583,2092.0037,
979.673,2071.4072,
976.762,2045.4248,
973.852,2053.3995,
970.941,2087.0345,
968.030,2097.8619,
965.120,2059.5964,
962.209,2052.776,
959.299,2089.1622,
956.388,2103.5051,
953.477,2090.7052,
950.567,2081.7291,
947.656,2106.519,
944.746,2120.9614,
941.835,2095.711,
938.925,2095.5475,
936.014,2106.2124,
933.103,2100.9136,
930.193,2078.6238,
927.282,2080.9752,
924.372,2050.5333,
921.461,2026.0058,
918.551,1996.5495,
915.640,1972.5511,
912.729,1959.7465,
909.819,1954.625,
906.908,1954.625,
903.998,1990.4164,
901.087,2002.8075,
898.176,2013.2145,
895.266,2031.5122,
892.355,2053.6091,
889.445,2069.5552,
886.534,2075.4691,
883.624,2073.2608,
880.713,2082.8528,
877.802,2097.7937,
874.892,2094.778,
871.981,2046.6645,
869.071,2048.3353,
866.160,2038.2756,
863.250,2015.8021,
860.339,2026.831,
857.428,2075.8163,
854.518,2074.0975,
851.607,1986.7302,
848.697,2008.7671,
845.786,2009.0181,
842.875,2012.8502,
839.965,2043.955,
837.054,2022.9506,
834.144,2051.957,
831.233,2066.291,
828.323,2074.087,
825.412,2070.5418,
822.501,2050.2632,
819.591,2020.5128,
816.680,2005.2019,
813.770,2000.9985,
810.859,2004.6862,
807.949,2004.9396,
805.038,1993.521,
802.127,2000.9292,
799.217,2013.5513,
796.306,1990.9491,
793.396,1963.6173,
790.485,1951.1509,
787.574,1946.9328,
784.664,1981.3775,
781.753,2015.1353,
778.843,2000.2002,
775.932,1971.5509,
773.022,1980.0917,
770.111,2021.7882,
767.200,1991.1273,
764.290,1993.3383,
761.379,1986.8703,
758.469,1962.2065,
755.558,1959.9199,
752.648,1936.2964,
749.737,1915.9581,
746.826,1848.8811,
743.916,1746.7219,
741.005,1624.62,
738.095,1341.275,
735.184,1020.171,
732.274,945.5932,
729.363,1152.0938,
726.452,1533.94,
723.542,1784.852,
720.631,1872.0207,
717.721,1931.86,
714.810,1977.1362,
711.899,2002.0507,
708.989,1986.7192,
706.078,1974.6055,
703.168,1971.0178,
700.257,1960.7233,
697.347,1944.6687,
694.436,1937.2977,
691.525,1925.2406,
688.615,1932.0587,
685.704,1929.8545,
682.794,1924.7739,
679.883,1941.4808,
676.973,1938.2753,
674.062,1940.8154,
671.151,1944.3783,
668.241,1950.437,
665.330,1964.8561,
662.420,2011.9813,
659.509,2004.4819,
656.598,1990.7303,
653.688,1987.0053,
650.777,1991.0039,
647.867,1972.6884,
644.956,1970.4825,
642.046,1969.552,
639.135,1971.6556,
636.224,1990.6091,
633.314,1987.4333,
630.403,1993.7195,
627.493,1982.4939,
624.582,1963.6879,
621.672,1995.3676,
618.761,2005.7443,
615.850,2017.9918,
612.940,2038.2618,
610.029,2063.2826,
607.119,2067.2308,
604.208,2061.9449,
601.297,2051.6487,
598.387,2034.7394,
595.476,2012.6993,
592.566,2013.4863,
589.655,2018.1602,
586.745,2009.7758,
583.834,1985.085,
580.923,1947.1938,
578.013,1875.783,
575.102,1904.2328,
572.192,1969.9942,
569.281,2023.5002,
566.371,2017.2392,
563.460,2028.618,
560.549,2039.9596,
557.639,2064.8873,
554.728,2113.1469,
551.818,2089.7374,
548.907,2105.345,
545.996,2110.0716,
543.086,2097.2961,
540.175,2100.4106,
537.265,2103.5221,
534.354,2114.1571,
531.444,2137.2792,
528.533,2168.8174,
525.622,2115.2771,
522.712,2120.0073,
519.801,2138.2626,
516.891,2155.6332,
513.980,2180.4106,
511.070,2195.3033,
508.159,2204.9231,
505.248,2216.6351,
502.338,2238.6642,
499.427,2274.1685,
496.517,2262.1301,
493.606,2267.497,
490.695,2309.0202,
487.785,2297.4734,
484.874,2311.1344,
481.964,2309.6583,
479.053,2300.4053,
476.143,2320.3723,
473.232,2324.5026,
470.321,2299.3499,
467.411,2268.5859,
464.500,2259.8577,
461.590,2269.0466,
458.679,2293.0865,
455.769,2309.9949,
452.858,2310.0566,
449.947,2323.8074,
447.037,2302.9613,
444.126,2294.6492,
441.216,2304.773,
438.305,2294.1059,
435.395,2270.989,
432.484,2269.2103,
429.573,2284.755,
426.663,2293.8767,
423.752,2277.8869,
420.842,2229.0666,
417.931,2195.5697,
415.020,2251.6882,
412.110,2321.665,
409.199,2360.3169,
406.289,2360.3582,
403.378,2316.7095,
400.468,2341.6573,
397.557,2318.2619,
394.646,2286.7396,
391.736,2278.8725,
388.825,2192.8901,
385.915,2100.5686,
383.004,2078.7456,
380.094,2173.0454,
377.183,2200.887,
374.272,2305.7827,
371.362,2409.6996,
368.451,2463.4001,
365.541,2476.1592,
362.630,2460.5066,
359.719,2464.4548,
356.809,2508.7252,
353.898,2460.8021,
350.988,2448.71,
348.077,2458.6277,
345.167,2483.009,
342.256,2530.0743,
339.345,2505.8933,
336.435,2485.6718,
333.524,2520.0948,
330.614,2534.9979,
327.703,2552.9735,
324.793,2559.9536,
321.882,2543.6611,
318.971,2558.5299,
316.061,2555.3237,
313.150,2542.6988,
310.240,2530.0828,
307.329,2557.4958,
304.418,2558.1381,
301.508,2520.4188,
298.597,2425.6454,
295.687,2346.5148,
292.776,2353.4586,
289.866,2462.6256,
286.955,2709.3599,
284.044,2887.5699,
281.134,3033.9442,
278.223,3151.8642,
275.313,3221.8654,
272.402,3324.3414,
269.492,3399.0317,
266.581,3428.302,
263.670,3493.733,
260.760,3549.1918,
257.849,3590.0672,
254.939,3611.3498,
252.028,3636.9596,
249.117,3632.4633,
246.207,3626.8002,
243.296,3669.9904,
240.386,3647.8523,
237.475,3597.5114,
234.565,3531.5726,
231.654,3480.4458,
228.743,3457.5423,
225.833,3431.8557,
222.922,3392.1981,
220.012,3361.5988,
217.101,3354.5693,
214.191,3328.5565,
211.280,3231.8039,
208.369,3212.5144,
205.459,3184.267,
202.548,3163.2852,
199.638,3236.5758,
196.727,3212.4423,
193.816,3184.8291,
190.906,3187.2187,
187.995,3175.6343,
185.085,3157.9122,
182.174,3154.1821,
179.264,3196.8253,
176.353,3149.7219,
173.442,3108.6606,
170.532,3091.4053,
167.621,3123.8492,
164.711,3084.2728,
161.800,3001.5484,
158.890,2887.1117,
155.979,2711.1317,
153.068,2493.3807,
150.158,2238.1553,
147.247,1947.3846,
144.337,1595.4408,
141.426,1238.7169,
138.516,902.49488,
135.605,659.34046,
132.694,458.06172,
129.784,298.41639,
126.873,194.72256,
123.963,129.23753,
121.052,86.559745,
118.141,63.714881,
115.231,51.545304,
112.320,39.423189,
109.410,30.034066,
106.499,32.170531,
103.589,30.383982,
100.678,26.180405,
97.767,19.781966,
94.857,25.168912,
91.946,26.415667,
89.036,23.608919,
86.125,17.226071,
83.215,17.217761,
80.304,17.427837,
77.393,13.886987,
74.483,12.969865,
71.572,12.987352,
68.662,13.34793,
65.751,10.522126,
62.840,8.661596,
59.930,7.4377138,
57.019,6.7326318,
54.109,11.999448,
51.198,12.608907,
48.288,5.625,
45.377,5.625,
42.466,9.7471934,
39.556,14.934289,
36.645,10.721147,
33.735,12.740491,
30.824,17.171209,
27.914,22.079436,
25.003,22.002363,
22.092,25.822759,
19.182,35.448783,
16.271,60.630428,
13.361,231.20049,
10.450,594.53062,
7.539,1424.8276,
4.629,2179.1519,
1.718,2551.6999,
-1.192,2121.5617,
-4.103,1319.7992,
-7.013,584.98241,
-9.924,6.625,
