,PLA5FF~1,
Wavenumbers [1/cm],Intensity,
1832.472,321.95674,
1829.562,311.62734,
1826.651,307.34522,
1823.740,320.06659,
1820.830,304.58349,
1817.919,309.46189,
1815.009,299.88772,
1812.098,285.30808,
1809.188,312.95245,
1806.277,282.60535,
1803.366,302.65873,
1800.456,291.52372,
1797.545,321.81107,
1794.635,340.22999,
1791.724,339.50602,
1788.813,354.27037,
1785.903,333.54365,
1782.992,312.60674,
1780.082,282.9538,
1777.171,183.85785,
1774.261,146.88554,
1771.350,222.76476,
1768.439,280.49393,
1765.529,311.15004,
1762.618,335.53752,
1759.708,318.79864,
1756.797,318.1553,
1753.887,344.95226,
1750.976,361.84751,
1748.065,346.29743,
1745.155,340.45558,
1742.244,342.56432,
1739.334,344.29853,
1736.423,340.22267,
1733.512,350.24495,
1730.602,360.85914,
1727.691,345.21881,
1724.781,376.05752,
1721.870,351.27004,
1718.960,392.20893,
1716.049,338.27395,
1713.138,389.99969,
1710.228,370.41461,
1707.317,395.95043,
1704.407,389.09423,
1701.496,374.20178,
1698.586,400.59453,
1695.675,432.81768,
1692.764,393.21924,
1689.854,354.52065,
1686.943,409.88519,
1684.033,377.74427,
1681.122,365.07891,
1678.211,412.41817,
1675.301,392.93667,
1672.390,407.7793,
1669.480,376.10764,
1666.569,405.31936,
1663.659,439.09105,
1660.748,392.83909,
1657.837,441.83126,
1654.927,439.33613,
1652.016,417.55537,
1649.106,444.06713,
1646.195,413.02587,
1643.285,460.33073,
1640.374,479.74957,
1637.463,474.01912,
1634.553,482.21489,
1631.642,505.24417,
1628.732,538.88093,
1625.821,539.8678,
1622.911,528.93699,
1620.000,566.39625,
1617.089,589.41729,
1614.179,627.77516,
1611.268,663.5366,
1608.358,715.39338,
1605.447,701.8463,
1602.536,703.67066,
1599.626,749.87164,
1596.715,762.04341,
1593.805,714.58108,
1590.894,717.6817,
1587.984,740.5273,
1585.073,692.82599,
1582.162,708.92158,
1579.252,701.60048,
1576.341,689.26224,
1573.431,693.14039,
1570.520,652.83426,
1567.610,656.26741,
1564.699,640.12411,
1561.788,649.48047,
1558.878,634.34382,
1555.967,601.4124,
1553.057,602.63349,
1550.146,594.5114,
1547.235,591.36859,
1544.325,579.47458,
1541.414,563.0946,
1538.504,594.81357,
1535.593,611.31991,
1532.683,574.58044,
1529.772,568.26224,
1526.861,586.25404,
1523.951,575.65691,
1521.040,574.75413,
1518.130,592.99087,
1515.219,602.95477,
1512.309,605.67228,
1509.398,587.2971,
1506.487,578.41828,
1503.577,581.31586,
1500.666,584.7704,
1497.756,592.79037,
1494.845,602.39419,
1491.934,566.64193,
1489.024,495.41745,
1486.113,561.48895,
1483.203,551.77615,
1480.292,545.63244,
1477.382,559.42347,
1474.471,550.59694,
1471.560,547.60067,
1468.650,522.59387,
1465.739,507.67255,
1462.829,523.1827,
1459.918,544.26735,
1457.008,564.56747,
1454.097,572.25342,
1451.186,554.81504,
1448.276,522.37829,
1445.365,482.69412,
1442.455,464.44119,
1439.544,493.01579,
1436.633,501.95246,
1433.723,495.49208,
1430.812,514.68771,
1427.902,524.06321,
1424.991,489.94376,
