,PLF08B~1,
Raman shift [1/cm],Intensity,
2173.010,1602.2783,
2170.099,1647.0967,
2167.189,1738.7942,
2164.278,1788.0106,
2161.368,1858.0689,
2158.457,1936.1885,
2155.546,2027.4366,
2152.636,2115.0956,
2149.725,2164.4597,
2146.815,2253.6303,
2143.904,2259.8197,
2140.993,2316.8121,
2138.083,2338.3815,
2135.172,2331.9202,
2132.262,2362.7799,
2129.351,2356.6206,
2126.441,2301.9076,
2123.530,2226.95,
2120.619,2165.7024,
2117.709,2054.3849,
2114.798,1935.2573,
2111.888,1847.0891,
2108.977,1772.7185,
2106.067,1691.3465,
2103.156,1635.5469,
2100.245,1621.4749,
2097.335,1577.6466,
2094.424,1551.6541,
2091.514,1551.7069,
2088.603,1506.749,
2085.692,1487.0501,
2082.782,1482.9499,
2079.871,1465.8209,
2076.961,1476.5959,
2074.050,1469.6939,
2071.140,1472.0518,
2068.229,1462.5951,
2065.318,1454.438,
2062.408,1459.3487,
2059.497,1458.0774,
2056.587,1448.3721,
2053.676,1458.9326,
2050.766,1442.1166,
2047.855,1420.5,
2044.944,1417.7067,
2042.034,1406.6099,
2039.123,1427.4596,
2036.213,1415.9822,
2033.302,1430.9561,
2030.391,1449.5678,
2027.481,1467.8413,
2024.570,1480.3998,
2021.660,1457.9782,
2018.749,1451.2721,
2015.839,1446.7106,
2012.928,1457.2584,
2010.017,1467.7986,
2007.107,1464.6383,
2004.196,1463.6667,
2001.286,1468.6873,
1998.375,1461.9331,
1995.465,1453.9938,
1992.554,1412.1827,
1989.643,1439.3248,
1986.733,1462.8579,
1983.822,1458.8353,
1980.912,1485.2807,
1978.001,1428.2032,
1975.090,1433.3198,
1972.180,1442.3949,
1969.269,1455.9712,
1966.359,1457.0406,
1963.448,1442.6981,
1960.538,1419.4583,
1957.627,1427.983,
1954.716,1428.5287,
1951.806,1397.5929,
1948.895,1414.9292,
1945.985,1401.5294,
1943.074,1429.0759,
1940.164,1394.4809,
1937.253,1409.526,
1934.342,1432.1241,
1931.432,1428.0268,
1928.521,1400.2133,
1925.611,1376.643,
1922.700,1368.9171,
1919.790,1396.9216,
1916.879,1378.2437,
1913.968,1369.5086,
1911.058,1424.9625,
1908.147,1422.5992,
1905.237,1375.8163,
1902.326,1413.3252,
1899.415,1398.0451,
1896.505,1394.7046,
1893.594,1380.0366,
1890.684,1415.0554,
1887.773,1403.7766,
1884.863,1400.721,
1881.952,1409.105,
1879.041,1400.1786,
1876.131,1421.9314,
1873.220,1410.0663,
1870.310,1393.5763,
1867.399,1401.3561,
1864.489,1385.0327,
1861.578,1379.0106,
1858.667,1429.4192,
1855.757,1416.2828,
1852.846,1430.2231,
1849.936,1429.3128,
1847.025,1444.8017,
