,PLD6F7~1,
Wavenumbers [1/cm],Intensity,
1771.350,542.72426,
1768.439,608.59199,
1765.529,669.37876,
1762.618,691.92562,
1759.708,668.40739,
1756.797,669.96591,
1753.887,687.11844,
1750.976,684.78534,
1748.065,684.98944,
1745.155,680.26536,
1742.244,687.30705,
1739.334,670.46442,
1736.423,694.99551,
1733.512,693.36682,
1730.602,703.08336,
1727.691,683.0422,
1724.781,698.9723,
1721.870,686.0606,
1718.960,722.48661,
1716.049,717.11243,
1713.138,727.19994,
1710.228,706.74728,
1707.317,725.48929,
1704.407,720.28943,
1701.496,740.3406,
1698.586,715.57945,
1695.675,782.61744,
1692.764,752.34629,
1689.854,700.62694,
1686.943,745.72244,
1684.033,749.32533,
1681.122,765.10312,
1678.211,752.49873,
1675.301,819.16841,
1672.390,761.44379,
1669.480,784.67181,
1666.569,822.09867,
1663.659,877.36239,
1660.748,817.37765,
1657.837,868.61557,
1654.927,879.04699,
1652.016,865.4722,
1649.106,869.20363,
1646.195,863.54984,
1643.285,911.96745,
1640.374,936.51786,
1637.463,897.18566,
1634.553,942.76412,
1631.642,1035.6139,
1628.732,1057.4461,
1625.821,1069.4156,
1622.911,1131.0256,
1620.000,1153.0978,
1617.089,1207.2805,
1614.179,1281.2599,
1611.268,1355.5867,
1608.358,1396.5021,
1605.447,1491.7186,
1602.536,1496.4431,
1599.626,1509.2541,
1596.715,1493.1306,
1593.805,1453.8131,
1590.894,1474.9144,
1587.984,1518.2152,
1585.073,1401.8574,
1582.162,1381.2099,
1579.252,1340.4599,
1576.341,1332.1761,
1573.431,1304.1807,
1570.520,1274.9724,
1567.610,1298.1794,
1564.699,1268.4984,
1561.788,1239.9948,
1558.878,1222.0853,
1555.967,1199.8584,
1553.057,1172.8752,
1550.146,1174.0513,
1547.235,1169.5685,
1544.325,1155.1541,
1541.414,1127.6926,
1538.504,1137.6617,
1535.593,1152.2283,
1532.683,1122.7556,
1529.772,1132.4058,
1526.861,1146.4423,
1523.951,1125.4202,
1521.040,1143.6067,
1518.130,1139.1793,
1515.219,1145.935,
1512.309,1150.8435,
1509.398,1149.13,
1506.487,1110.8943,
1503.577,1143.1671,
1500.666,1158.8154,
1497.756,1155.1378,
1494.845,1161.2133,
1491.934,1085.2774,
1489.024,1055.4401,
1486.113,1124.8434,
1483.203,1095.7365,
1480.292,1096.4661,
1477.382,1094.9503,
1474.471,1078.26,
1471.560,1058.136,
1468.650,1035.9764,
1465.739,1063.602,
1462.829,1062.4864,
1459.918,1056.6624,
1457.008,1077.5906,
1454.097,1079.3589,
1451.186,1059.9688,
1448.276,1037.2473,
1445.365,1006.2312,
1442.455,994.28172,
1439.544,987.33684,
1436.633,973.375,
1433.723,969.38707,
1430.812,944.25642,
1427.902,979.36026,
1424.991,936.71095,
1422.081,913.35555,
1419.170,958.03426,
1416.259,942.69323,
1413.349,946.43789,
1410.438,944.47654,
1407.528,945.59371,
1404.617,931.52254,
1401.707,903.94685,
1398.796,869.54988,
1395.885,853.16245,
1392.975,848.97865,
1390.064,844.91648,
1387.154,868.57919,
1384.243,798.65054,
1381.332,789.37901,
1378.422,781.85805,
1375.511,791.22586,
1372.601,848.51236,
1369.690,868.805,
1366.780,872.95907,
1363.869,937.30498,
1360.958,957.4137,
1358.048,924.52279,
1355.137,992.74129,
1352.227,1058.2769,
1349.316,1064.8712,
1346.406,1114.2316,
1343.495,1122.9255,
1340.584,1097.4094,
1337.674,1177.8022,
1334.763,1158.4568,
1331.853,1213.1635,
1328.942,1270.5218,
1326.032,1279.8219,
1323.121,1296.6762,
1320.210,1281.7315,
1317.300,1297.9354,
1314.389,1340.0144,
1311.479,1371.5497,
1308.568,1397.0243,
1305.657,1425.5894,
1302.747,1453.5612,
1299.836,1525.3062,
