,PL4CC5~1,
Raman shift [1/cm],Intensity,
1788.813,226.81497,
1785.903,206.17725,
1782.992,223.99306,
1780.082,184.04772,
1777.171,194.95744,
1774.261,191.99001,
1771.350,196.5825,
1768.439,198.36909,
1765.529,204.90004,
1762.618,213.34436,
1759.708,201.00538,
1756.797,204.76894,
1753.887,212.06086,
1750.976,186.8593,
1748.065,192.35925,
1745.155,211.09594,
1742.244,211.63859,
1739.334,228.42735,
1736.423,235.21192,
1733.512,227.34856,
1730.602,217.14483,
1727.691,203.11009,
1724.781,218.50284,
1721.870,192.2391,
1718.960,219.98098,
1716.049,229.30295,
1713.138,239.88495,
1710.228,228.57055,
1707.317,209.81814,
1704.407,223.79615,
1701.496,230.18274,
1698.586,224.15711,
1695.675,212.3965,
1692.764,235.29305,
1689.854,272.97935,
1686.943,256.26579,
1684.033,247.82369,
1681.122,233.86289,
1678.211,258.38707,
1675.301,305.48008,
1672.390,242.73267,
1669.480,278.68918,
1666.569,286.40917,
1663.659,269.98431,
1660.748,291.27793,
1657.837,274.32483,
1654.927,305.625,
1652.016,306.32967,
1649.106,334.08642,
1646.195,313.29634,
1643.285,340.67057,
1640.374,342.89678,
1637.463,355.33677,
1634.553,340.157,
1631.642,376.21133,
1628.732,429.30503,
1625.821,375.6564,
1622.911,423.35451,
1620.000,450.28483,
1617.089,475.12749,
1614.179,518.38416,
1611.268,556.21224,
1608.358,551.90594,
1605.447,625.16845,
1602.536,570.91611,
1599.626,633.7801,
1596.715,612.39696,
1593.805,617.67399,
1590.894,573.71082,
1587.984,584.94684,
1585.073,528.91864,
1582.162,565.37862,
1579.252,563.98709,
1576.341,549.60905,
1573.431,561.50531,
1570.520,538.8718,
1567.610,540.31142,
1564.699,545.07506,
1561.788,560.41359,
1558.878,491.52105,
1555.967,490.97956,
1553.057,493.31481,
1550.146,458.81415,
1547.235,439.67337,
1544.325,442.14925,
1541.414,444.00483,
1538.504,440.56979,
1535.593,441.54649,
1532.683,430.38378,
1529.772,430.01224,
1526.861,435.53186,
1523.951,421.68846,
1521.040,436.56958,
1518.130,422.96581,
1515.219,394.9055,
1512.309,382.57997,
1509.398,396.7657,
1506.487,404.12838,
1503.577,448.24508,
1500.666,420.45449,
1497.756,360.65953,
1494.845,422.06524,
1491.934,432.48327,
1489.024,389.17109,
1486.113,374.64398,
1483.203,362.07882,
1480.292,396.26248,
1477.382,344.43113,
1474.471,321.41645,
1471.560,330.96132,
1468.650,362.27267,
1465.739,359.25324,
1462.829,324.96185,
1459.918,315.91236,
1457.008,324.1481,
1454.097,337.17895,
1451.186,355.19947,
1448.276,366.79057,
1445.365,357.30036,
1442.455,332.83762,
1439.544,365.68947,
1436.633,345.47902,
1433.723,335.73453,
1430.812,368.74358,
1427.902,332.5348,
1424.991,328.74375,
1422.081,332.29491,
1419.170,351.63433,
1416.259,337.61368,
1413.349,314.74397,
1410.438,310.02456,
1407.528,326.0748,
1404.617,311.727,
1401.707,330.60107,
1398.796,326.22299,
1395.885,311.01497,
1392.975,337.83301,
1390.064,323.91931,
1387.154,303.59553,
1384.243,239.10859,
1381.332,258.41169,
1378.422,243.28178,
1375.511,294.80473,
1372.601,312.21327,
1369.690,382.2028,
1366.780,401.54535,
1363.869,369.48058,
1360.958,371.80997,
1358.048,383.77818,
1355.137,403.44689,
1352.227,398.49416,
1349.316,389.4005,
1346.406,428.27129,
1343.495,455.64589,
1340.584,437.08932,
1337.674,436.01861,
1334.763,449.74211,
1331.853,505.37598,
1328.942,504.06714,
1326.032,470.18455,
1323.121,485.5949,
1320.210,484.30211,
1317.300,465.45943,
1314.389,479.77825,
1311.479,492.13964,
1308.568,484.01287,
1305.657,491.6583,
1302.747,484.6031,
1299.836,482.52186,
1296.926,526.03506,
1294.015,556.37274,
1291.105,527.68658,
1288.194,556.37346,
1285.283,600.42516,
1282.373,598.80475,
1279.462,597.86014,
1276.552,623.67233,
1273.641,641.06972,
1270.731,635.68321,
