,PLD6C1~1,
Raman shift [1/cm],Intensity,
1666.569,648.1953,
1663.659,624.69599,
1660.748,636.24934,
1657.837,624.13422,
1654.927,652.47657,
1652.016,652.25327,
1649.106,682.94066,
1646.195,699.92457,
1643.285,677.13802,
1640.374,704.93902,
1637.463,725.96838,
1634.553,751.39655,
1631.642,745.18405,
1628.732,807.72517,
1625.821,845.52813,
1622.911,888.25769,
1620.000,873.68898,
1617.089,895.06219,
1614.179,964.49773,
1611.268,1027.1578,
1608.358,1084.7843,
1605.447,1085.6143,
1602.536,1092.9551,
1599.626,1129.3774,
1596.715,1064.4299,
1593.805,1110.2656,
1590.894,1077.7505,
1587.984,1075.9644,
1585.073,1069.6935,
1582.162,1027.5906,
1579.252,1012.1353,
1576.341,1021.7149,
1573.431,1009.6197,
1570.520,963.45926,
1567.610,960.18642,
1564.699,970.7503,
1561.788,948.14813,
1558.878,932.03789,
1555.967,926.19668,
1553.057,903.44849,
1550.146,887.81274,
1547.235,893.17424,
1544.325,869.65788,
1541.414,848.04006,
1538.504,878.81435,
1535.593,893.8664,
1532.683,872.60909,
1529.772,874.4186,
1526.861,871.00453,
1523.951,844.6364,
1521.040,854.17512,
1518.130,872.57985,
1515.219,855.58029,
1512.309,845.5,
1509.398,843.13692,
1506.487,837.39748,
1503.577,843.74015,
1500.666,810.54394,
1497.756,856.05902,
1494.845,825.89967,
1491.934,811.68268,
1489.024,867.50727,
1486.113,797.17719,
1483.203,812.81602,
1480.292,832.47023,
1477.382,811.25255,
1474.471,817.77806,
1471.560,831.65933,
1468.650,815.00179,
1465.739,774.75647,
1462.829,802.85812,
1459.918,800.35054,
1457.008,795.33105,
1454.097,804.94605,
1451.186,810.62959,
1448.276,825.69298,
1445.365,805.5,
1442.455,808.2332,
1439.544,820.43553,
1436.633,833.8297,
1433.723,814.50604,
1430.812,797.24917,
1427.902,757.60494,
1424.991,804.0453,
1422.081,831.18936,
1419.170,834.36406,
1416.259,797.2371,
1413.349,820.97537,
1410.438,802.80903,
1407.528,796.93742,
1404.617,803.43564,
1401.707,779.00298,
1398.796,770.13283,
1395.885,800.14185,
1392.975,791.51967,
1390.064,738.43984,
1387.154,705.92803,
1384.243,617.7418,
1381.332,624.07339,
1378.422,592.70254,
1375.511,674.20248,
1372.601,732.63736,
1369.690,815.50724,
1366.780,874.43804,
1363.869,898.12363,
1360.958,887.97524,
1358.048,910.16559,
1355.137,925.76884,
1352.227,925.61767,
1349.316,939.44307,
1346.406,956.0545,
1343.495,964.24043,
1340.584,980.17803,
1337.674,1008.4247,
1334.763,950.94669,
1331.853,988.96317,
1328.942,954.03197,
1326.032,963.36555,
1323.121,960.57228,
1320.210,985.13683,
1317.300,995.54884,
1314.389,1007.3753,
1311.479,999.96617,
1308.568,987.50845,
1305.657,998.73308,
1302.747,964.51095,
1299.836,976.23963,
1296.926,1033.3373,
1294.015,1072.8683,
1291.105,1076.2611,
1288.194,1117.2359,
1285.283,1159.0041,
1282.373,1189.2187,
1279.462,1178.0886,
1276.552,1167.4685,
1273.641,1171.3243,
1270.731,1175.3791,
1267.820,1195.6833,
1264.909,1174.9507,
1261.999,1186.0326,
1259.088,1200.6265,
1256.178,1184.3709,
1253.267,1139.3042,
1250.356,1143.4313,
1247.446,1125.0973,
1244.535,1096.5893,
1241.625,1093.7666,
1238.714,1091.1114,
1235.804,1065.6505,
1232.893,1076.8806,
1229.982,1050.1508,
1227.072,1010.3171,
1224.161,1000.776,
1221.251,980.14276,
1218.340,941.1094,
1215.430,933.96017,
1212.519,940.2362,
1209.608,943.17001,
1206.698,951.4574,
1203.787,954.69098,
1200.877,1003.497,
1197.966,987.31216,
1195.055,1016.3637,
1192.145,1013.2352,
1189.234,1045.5348,
1186.324,1081.4107,
1183.413,1080.9264,
1180.503,1072.9549,
1177.592,1094.6616,
1174.681,1100.274,
1171.771,1111.5728,
1168.860,1071.3837,
1165.950,1050.5679,
1163.039,1049.992,
1160.129,1078.0435,
1157.218,1065.2522,
1154.307,1034.0972,
1151.397,1037.718,
1148.486,1041.0447,
1145.576,1070.5341,
1142.665,1025.2505,
1139.754,1031.2635,
1136.844,1029.9985,
1133.933,1017.9429,
1131.023,1001.0581,
1128.112,992.99964,
1125.202,997.25845,
1122.291,999.5081,
1119.380,1020.3441,
1116.470,1004.4586,
1113.559,997.08726,
1110.649,987.64185,
1107.738,978.14182,
1104.828,985.56689,
1101.917,1008.1215,
1099.006,1018.8712,
1096.096,1006.285,
1093.185,1002.773,
1090.275,1033.2523,
1087.364,1012.369,
1084.453,982.06361,
1081.543,994.35504,
1078.632,1028.1268,
1075.722,1026.491,
1072.811,1013.8723,
1069.901,1019.1119,
1066.990,1025.1583,
1064.079,997.2379,
1061.169,1029.341,
1058.258,1048.2901,
1055.348,1037.61,
1052.437,1071.664,
1049.527,1071.9965,
1046.616,1058.9641,
1043.705,1062.8954,
1040.795,1083.0166,
1037.884,1078.3279,
1034.974,1066.4794,
1032.063,1075.7922,
1029.153,1090.5386,
1026.242,1099.1882,
1023.331,1076.1682,
1020.421,1090.3217,
1017.510,1104.1028,
1014.600,1107.6541,
1011.689,1109.3507,
1008.778,1122.5111,
1005.868,1157.7394,
1002.957,1184.4104,
1000.047,1205.972,
997.136,1224.2465,
994.226,1236.9615,
991.315,1227.8862,
988.404,1193.203,
985.494,1185.963,
982.583,1161.9794,
979.673,1140.2088,
976.762,1135.2613,
973.852,1148.8763,
970.941,1158.8688,
968.030,1145.8006,
965.120,1147.5394,
962.209,1156.9173,
959.299,1159.9165,
956.388,1152.1005,
953.477,1162.3521,
950.567,1182.8401,
947.656,1174.0597,
944.746,1185.9535,
941.835,1186.5,
938.925,1172.0229,
936.014,1169.0524,
933.103,1181.9743,
930.193,1185.7143,
927.282,1138.5458,
924.372,1139.3914,
921.461,1135.0816,
918.551,1132.9191,
915.640,1130.3753,
912.729,1131.257,
909.819,1137.163,
906.908,1104.3084,
903.998,1127.1563,
901.087,1158.9602,
898.176,1160.1385,
895.266,1154.3872,
892.355,1171.9294,
889.445,1163.5367,
886.534,1176.8579,
883.624,1186.2283,
880.713,1194.0932,
877.802,1187.3835,
874.892,1174.0377,
871.981,1206.6122,
869.071,1169.0187,
866.160,1176.9892,
863.250,1182.4516,
860.339,1168.6129,
857.428,1150.8566,
854.518,1172.7778,
851.607,1147.8158,
848.697,1152.4416,
845.786,1159.6138,
842.875,1166.6946,
839.965,1172.8834,
837.054,1165.9373,
834.144,1204.8886,
831.233,1193.1681,
828.323,1200.3154,
825.412,1205.9093,
822.501,1177.6276,
819.591,1156.1412,
816.680,1181.1411,
813.770,1168.7049,
810.859,1150.2801,
807.949,1145.9098,
805.038,1157.5,
802.127,1157.5,
799.217,1139.6106,
796.306,1113.635,
793.396,1120.6911,
790.485,1152.7625,
787.574,1142.1886,
784.664,1133.9875,
781.753,1145.9197,
778.843,1157.8909,
775.932,1165.0432,
773.022,1163.1745,
770.111,1128.8362,
767.200,1134.8744,
764.290,1123.0531,
761.379,1137.3137,
758.469,1164.4089,
755.558,1121.9894,
752.648,1104.8828,
749.737,1085.1803,
746.826,1069.9729,
743.916,1021.7332,
741.005,889.99727,
738.095,655.36486,
735.184,444.44472,
732.274,420.93436,
729.363,580.49082,
726.452,837.32022,
723.542,1002.4365,
720.631,1081.073,
717.721,1128.2781,
714.810,1136.4603,
711.899,1124.3317,
708.989,1149.3464,
706.078,1129.4674,
703.168,1142.1094,
700.257,1156.388,
697.347,1156.37,
694.436,1141.9364,
691.525,1158.0125,
688.615,1136.3436,
685.704,1132.724,
682.794,1149.6064,
679.883,1154.6257,
676.973,1112.9545,
674.062,1128.109,
671.151,1138.87,
668.241,1130.2585,
665.330,1115.3908,
662.420,1155.3274,
659.509,1146.9918,
656.598,1152.6462,
653.688,1156.6271,
650.777,1105.2012,
647.867,1155.3698,
644.956,1145.4489,
642.046,1133.7438,
639.135,1138.4345,
636.224,1149.4682,
633.314,1143.1167,
630.403,1159.2363,
627.493,1180.3337,
624.582,1194.6766,
621.672,1195.4686,
618.761,1165.8624,
615.850,1177.9885,
612.940,1201.3061,
610.029,1211.8424,
607.119,1207.8942,
604.208,1216.7302,
601.297,1200.5593,
598.387,1176.4871,
595.476,1168.5798,
592.566,1190.6177,
589.655,1172.4717,
586.745,1163.9717,
583.834,1159.4971,
580.923,1127.5332,
578.013,1133.0263,
575.102,1109.8357,
572.192,1101.504,
569.281,1129.2014,
566.371,1183.2024,
563.460,1177.2125,
560.549,1210.995,
557.639,1238.0718,
554.728,1202.8303,
551.818,1223.8989,
548.907,1224.8435,
545.996,1238.0516,
543.086,1254.1119,
540.175,1215.1796,
537.265,1248.714,
534.354,1243.4358,
531.444,1233.4171,
528.533,1253.7409,
525.622,1214.9435,
522.712,1222.8823,
519.801,1232.3544,
516.891,1236.9167,
513.980,1268.6628,
511.070,1272.2043,
508.159,1277.7532,
505.248,1282.9993,
502.338,1282.5618,
499.427,1318.8379,
496.517,1339.2475,
493.606,1335.0498,
490.695,1308.8952,
487.785,1297.3484,
484.874,1290.9764,
481.964,1305.9417,
479.053,1324.6165,
476.143,1300.0417,
473.232,1304.2552,
470.321,1309.4195,
467.411,1308.4478,
464.500,1296.1315,
461.590,1281.5825,
458.679,1259.3403,
455.769,1265.2942,
452.858,1309.7047,
449.947,1302.0653,
447.037,1304.7473,
444.126,1303.0636,
441.216,1297.352,
438.305,1308.0191,
435.395,1269.5062,
432.484,1276.4224,
429.573,1310.1749,
426.663,1287.3707,
423.752,1261.0903,
420.842,1253.2401,
417.931,1270.7209,
415.020,1320.7726,
412.110,1307.8677,
409.199,1300.544,
406.289,1315.9645,
403.378,1369.2336,
400.468,1290.6102,
397.557,1268.0707,
394.646,1256.494,
391.736,1215.8924,
388.825,1134.4354,
385.915,1091.341,
383.004,1086.2073,
380.094,1119.1086,
377.183,1189.8413,
374.272,1255.6363,
371.362,1306.8617,
368.451,1336.1353,
365.541,1330.131,
362.630,1341.0635,
359.719,1356.2355,
356.809,1366.1407,
353.898,1343.6768,
350.988,1334.7876,
348.077,1334.2425,
345.167,1339.5974,
342.256,1361.2624,
339.345,1376.0029,
336.435,1372.9515,
333.524,1345.8993,
330.614,1358.5669,
327.703,1362.5,
324.793,1380.0298,
321.882,1430.4477,
318.971,1408.8879,
316.061,1378.5492,
313.150,1355.1929,
310.240,1357.4192,
307.329,1376.0806,
304.418,1369.3654,
301.508,1331.823,
298.597,1254.0793,
295.687,1166.2312,
292.776,1140.0001,
289.866,1192.0633,
286.955,1356.0604,
284.044,1487.0249,
281.134,1561.3492,
278.223,1592.0625,
275.313,1664.2743,
272.402,1684.7281,
269.492,1712.8977,
266.581,1766.9189,
263.670,1786.7687,
260.760,1797.7238,
257.849,1809.6856,
254.939,1830.2343,
252.028,1802.9939,
249.117,1801.1797,
246.207,1804.8706,
243.296,1779.2493,
240.386,1779.765,
237.475,1759.6013,
234.565,1727.721,
231.654,1748.1717,
228.743,1736.3897,
225.833,1701.6328,
222.922,1651.4365,
220.012,1692.9642,
217.101,1679.0199,
214.191,1629.5182,
211.280,1559.6818,
208.369,1582.7582,
205.459,1575.739,
202.548,1538.4833,
199.638,1503.6521,
196.727,1563.341,
193.816,1600.4591,
190.906,1572.0175,
187.995,1558.261,
185.085,1574.7785,
182.174,1576.561,
179.264,1495.6113,
176.353,1467.2766,
173.442,1454.6872,
170.532,1454.6923,
167.621,1482.0893,
164.711,1462.1705,
161.800,1413.4151,
158.890,1342.8818,
155.979,1218.306,
153.068,1111.2419,
150.158,1007.0396,
147.247,839.75677,
144.337,679.81935,
141.426,543.47025,
138.516,441.67169,
135.605,298.91152,
132.694,193.88033,
129.784,122.97403,
126.873,84.357023,
123.963,49.753704,
121.052,28.083554,
118.141,24.514044,
115.231,23.78943,
112.320,20.958184,
109.410,16.545513,
106.499,11.560427,
103.589,12.180763,
100.678,9.6972962,
97.767,-0.25582991,
94.857,9.8948357,
91.946,12.484446,
89.036,10.290285,
86.125,15.254722,
83.215,12.252637,
80.304,8.9788654,
77.393,10.395205,
74.483,7.8794602,
71.572,5.7752958,
68.662,4.5,
65.751,4.5,
62.840,3.536596,
59.930,3.2491448,
57.019,6.0694727,
54.109,4.7085175,
51.198,6.5160928,
48.288,13.437713,
45.377,5.7005544,
42.466,4.1488774,
39.556,5.9244071,
36.645,2.413456,
33.735,5.6539877,
30.824,8.1746782,
27.914,3.9676267,
25.003,3.5,
22.092,2.2083818,
19.182,-0.36270282,
16.271,3.834238,
13.361,-15.994357,
10.450,-42.495256,
7.539,-25.037372,
4.629,28.034548,
1.718,45.276148,
-1.192,-46.746931,
-4.103,-65.792034,
-7.013,-48.914412,
-9.924,0.5,
