,PLC2BA~1,
Wavenumbers [1/cm],Intensity,
1643.285,356.3763,
1640.374,376.85062,
1637.463,330.08198,
1634.553,396.31834,
1631.642,426.30932,
1628.732,465.66168,
1625.821,429.88743,
1622.911,448.76793,
1620.000,501.20727,
1617.089,587.14365,
1614.179,599.56479,
1611.268,624.90837,
1608.358,664.95525,
1605.447,718.73256,
1602.536,708.82858,
1599.626,763.99091,
1596.715,720.77214,
1593.805,718.558,
1590.894,715.35232,
1587.984,709.67845,
1585.073,665.48334,
1582.162,664.55409,
1579.252,647.05407,
1576.341,627.6548,
1573.431,637.18896,
1570.520,604.1849,
1567.610,590.63967,
1564.699,542.74806,
1561.788,534.02984,
1558.878,562.45447,
1555.967,507.80853,
1553.057,477.70255,
1550.146,483.56226,
1547.235,458.71998,
1544.325,481.15883,
1541.414,497.21334,
1538.504,485.41641,
1535.593,475.67597,
1532.683,465.71258,
1529.772,459.68138,
1526.861,445.25404,
1523.951,446.21125,
1521.040,458.24528,
1518.130,482.99767,
1515.219,526.5554,
1512.309,509.40652,
1509.398,493.71919,
1506.487,472.52079,
1503.577,462.16891,
1500.666,463.76308,
1497.756,465.39226,
1494.845,493.07347,
1491.934,425.82146,
1489.024,409.45908,
1486.113,414.43829,
1483.203,418.42767,
1480.292,414.63244,
1477.382,451.86266,
1474.471,389.50876,
1471.560,379.48566,
1468.650,355.1775,
1465.739,346.99892,
1462.829,363.6018,
1459.918,394.42215,
1457.008,416.95199,
1454.097,411.24536,
1451.186,404.69705,
1448.276,398.4852,
1445.365,359.72966,
1442.455,334.79475,
1439.544,346.3046,
1436.633,337.02992,
1433.723,316.00868,
1430.812,297.64818,
1427.902,319.35636,
1424.991,297.55782,
1422.081,273.0206,
1419.170,294.20463,
1416.259,306.78569,
1413.349,299.05687,
1410.438,306.37169,
1407.528,284.48159,
1404.617,301.57993,
1401.707,280.94982,
1398.796,216.4415,
1395.885,207.13108,
1392.975,220.6452,
1390.064,214.06526,
1387.154,256.93053,
1384.243,230.70255,
1381.332,220.91111,
1378.422,150.71059,
1375.511,186.30827,
1372.601,241.24765,
1369.690,235.58833,
1366.780,244.96349,
1363.869,273.3017,
1360.958,287.49651,
1358.048,289.28169,
1355.137,318.31331,
1352.227,348.99267,
1349.316,381.48186,
1346.406,414.97633,
1343.495,386.89937,
1340.584,372.66024,
1337.674,408.05583,
1334.763,444.39227,
1331.853,484.2632,
1328.942,478.75929,
1326.032,498.26552,
1323.121,491.01957,
1320.210,504.85486,
1317.300,513.28477,
1314.389,541.13944,
1311.479,582.72926,
1308.568,583.55625,
1305.657,560.1466,
1302.747,597.82612,
1299.836,657.29765,
1296.926,688.61863,
1294.015,683.10268,
1291.105,696.08313,
1288.194,736.21467,
1285.283,769.5031,
1282.373,755.46102,
1279.462,769.32545,
1276.552,814.63888,
1273.641,826.07035,
1270.731,803.34515,
1267.820,798.3577,
1264.909,765.39144,
1261.999,762.04144,
1259.088,766.60204,
1256.178,791.71224,
1253.267,778.2295,
1250.356,761.36168,
1247.446,739.44664,
1244.535,720.44198,
1241.625,710.45278,
1238.714,702.20457,
1235.804,705.20015,
1232.893,747.63309,
1229.982,712.07089,
1227.072,747.37806,
1224.161,732.22442,
1221.251,709.51776,
1218.340,680.20158,
1215.430,678.33517,
1212.519,668.76462,
1209.608,650.41876,
1206.698,653.8111,
1203.787,648.14636,
1200.877,665.54067,
1197.966,660.14572,
1195.055,699.12444,
1192.145,739.68545,
1189.234,799.53443,
1186.324,829.14804,
1183.413,813.76838,
1180.503,799.9809,
1177.592,810.20817,
1174.681,785.38185,
1171.771,788.68955,
1168.860,780.65175,
1165.950,784.71274,
1163.039,780.28778,
1160.129,772.5663,
1157.218,779.93193,
1154.307,797.44038,
1151.397,806.875,
1148.486,809.12285,
1145.576,822.14483,
1142.665,828.36022,
1139.754,827.24774,
1136.844,817.07076,
1133.933,809.94247,
