,PLAC5E~1,
Wavenumbers [1/cm],Intensity,
1617.089,540.66107,
1614.179,551.59299,
1611.268,534.5442,
1608.358,633.95857,
1605.447,623.78916,
1602.536,604.23726,
1599.626,632.31285,
1596.715,677.53226,
1593.805,637.1584,
1590.894,619.54562,
1587.984,621.33937,
1585.073,577.63253,
1582.162,575.7192,
1579.252,600.60573,
1576.341,592.25692,
1573.431,576.34421,
1570.520,576.69689,
1567.610,571.91412,
1564.699,532.17345,
1561.788,522.10031,
1558.878,526.60605,
1555.967,492.19911,
1553.057,516.61595,
1550.146,519.9805,
1547.235,477.949,
1544.325,478.79968,
1541.414,494.875,
1538.504,487.68176,
1535.593,486.71797,
1532.683,468.5271,
1529.772,451.51857,
1526.861,467.67966,
1523.951,472.97493,
1521.040,467.19988,
1518.130,454.40371,
1515.219,482.11483,
1512.309,476.72631,
1509.398,445.4529,
1506.487,458.67795,
1503.577,482.48789,
1500.666,517.7411,
1497.756,493.2564,
1494.845,496.79441,
1491.934,470.66397,
1489.024,406.17695,
1486.113,465.99844,
1483.203,438.0128,
1480.292,438.11756,
1477.382,478.47916,
1474.471,440.2975,
1471.560,412.08734,
1468.650,404.82518,
1465.739,414.12284,
1462.829,436.58589,
1459.918,451.18995,
1457.008,457.93659,
1454.097,447.08594,
1451.186,446.09357,
1448.276,443.41612,
1445.365,397.94609,
1442.455,395.51492,
1439.544,390.45262,
1436.633,361.02098,
1433.723,380.48604,
1430.812,407.92487,
1427.902,347.72408,
1424.991,425.4406,
1422.081,371.9089,
1419.170,375.5156,
1416.259,369.58443,
1413.349,359.56735,
1410.438,383.46663,
1407.528,383.28765,
1404.617,357.49977,
1401.707,335.92589,
1398.796,323.21068,
1395.885,324.31601,
1392.975,323.89538,
1390.064,309.76118,
1387.154,315.93053,
1384.243,283.32206,
1381.332,249.21903,
1378.422,226.76398,
1375.511,205.21802,
1372.601,299.79674,
1369.690,353.30779,
1366.780,374.3396,
1363.869,385.13977,
1360.958,377.97176,
1358.048,379.99474,
1355.137,395.38868,
1352.227,413.56786,
1349.316,443.70528,
1346.406,484.77367,
1343.495,493.41852,
1340.584,465.69574,
1337.674,511.83981,
1334.763,518.6753,
1331.853,487.14944,
1328.942,453.85429,
1326.032,497.99662,
1323.121,513.32079,
1320.210,531.52302,
1317.300,527.48013,
1314.389,539.94486,
1311.479,552.01098,
1308.568,550.85478,
1305.657,563.22255,
1302.747,565.19765,
1299.836,607.90938,
1296.926,594.85777,
1294.015,616.00221,
1291.105,643.29125,
1288.194,679.62346,
1285.283,670.69093,
1282.373,689.18741,
1279.462,680.26761,
1276.552,694.78853,
1273.641,710.3394,
1270.731,672.75709,
1267.820,666.56544,
1264.909,637.05104,
1261.999,652.27582,
1259.088,635.85764,
1256.178,705.10443,
1253.267,690.79035,
1250.356,665.2664,
1247.446,682.10427,
1244.535,688.47771,
1241.625,661.938,
1238.714,642.98862,
1235.804,651.40412,
1232.893,660.61922,
1229.982,686.13907,
1227.072,664.41158,
1224.161,645.22442,
1221.251,618.05071,
1218.340,587.20158,
1215.430,604.60391,
1212.519,604.42599,
1209.608,585.15189,
1206.698,598.51317,
1203.787,584.90013,
1200.877,596.26505,
1197.966,602.55916,
1195.055,642.12444,
1192.145,690.19889,
1189.234,697.38708,
