,PL4CF9~1,
Raman shift [1/cm],Intensity,
1192.145,716.86694,
1189.234,730.94602,
1186.324,743.19355,
1183.413,749.46637,
1180.503,754.72402,
1177.592,759.46595,
1174.681,768.02226,
1171.771,777.76778,
1168.860,708.1068,
1165.950,716.6945,
1163.039,707.80375,
1160.129,692.93732,
1157.218,697.43193,
1154.307,687.48451,
1151.397,650.375,
1148.486,651.72371,
1145.576,659.02807,
1142.665,651.03686,
1139.754,619.45711,
1136.844,605.37197,
1133.933,611.17259,
1131.023,634.84255,
1128.112,652.23245,
1125.202,645.95955,
1122.291,636.87095,
1119.380,626.39232,
1116.470,628.15738,
1113.559,609.04377,
1110.649,609.26861,
1107.738,619.87645,
1104.828,635.52919,
1101.917,638.01953,
1099.006,618.45734,
1096.096,641.40744,
1093.185,625.60339,
1090.275,644.60676,
1087.364,611.63824,
1084.453,601.12457,
1081.543,609.88077,
1078.632,615.62858,
1075.722,623.26457,
1072.811,644.31295,
1069.901,643.43969,
1066.990,613.46674,
1064.079,630.8735,
1061.169,655.07793,
1058.258,681.89094,
1055.348,694.38042,
1052.437,664.14344,
1049.527,633.44913,
1046.616,661.25167,
1043.705,685.18566,
1040.795,690.7365,
1037.884,686.3291,
1034.974,688.70618,
1032.063,695.08284,
1029.153,683.55611,
1026.242,701.72019,
1023.331,696.54204,
1020.421,673.76485,
1017.510,673.89969,
1014.600,681.375,
1011.689,687.0764,
1008.778,703.57417,
1005.868,716.45994,
1002.957,725.92384,
1000.047,778.33502,
997.136,813.82012,
994.226,819.57509,
991.315,802.63243,
988.404,780.21287,
985.494,778.74206,
982.583,750.4757,
979.673,736.86359,
976.762,732.2008,
973.852,728.72294,
970.941,733.0809,
968.030,747.9183,
965.120,728.52894,
962.209,765.18825,
959.299,762.87601,
956.388,761.05489,
953.477,748.81109,
950.567,743.7533,
947.656,783.26089,
944.746,774.76533,
941.835,749.27079,
938.925,761.80041,
936.014,772.38665,
933.103,772.31572,
