,PL1E3C~1,
Raman shift [1/cm],Intensity,
1381.332,288.10665,
1378.422,299.85,
1375.511,355.12007,
1372.601,403.92166,
1369.690,455.14724,
1366.780,471.71239,
1363.869,481.99125,
1360.958,508.76779,
1358.048,493.11435,
1355.137,505.01536,
1352.227,554.96092,
1349.316,570.89045,
1346.406,554.36138,
1343.495,566.95126,
1340.584,611.49982,
1337.674,627.07363,
1334.763,661.52928,
1331.853,675.43775,
1328.942,689.34196,
1326.032,666.53138,
1323.121,674.33736,
1320.210,703.63907,
1317.300,747.2823,
1314.389,723.263,
1311.479,703.59206,
1308.568,730.76728,
1305.657,719.94276,
1302.747,714.68323,
1299.836,748.80839,
1296.926,778.22191,
1294.015,826.02673,
1291.105,828.88054,
1288.194,877.72332,
1285.283,902.17205,
1282.373,920.92182,
1279.462,961.39153,
1276.552,959.19673,
1273.641,961.683,
1270.731,1004.1224,
1267.820,970.15478,
1264.909,982.85683,
1261.999,959.4674,
1259.088,944.87346,
1256.178,950.85165,
1253.267,974.24867,
1250.356,935.62399,
1247.446,891.70437,
1244.535,876.99107,
1241.625,888.89997,
1238.714,893.47961,
1235.804,859.48064,
1232.893,829.62404,
1229.982,834,
1227.072,834,
1224.161,794.49632,
1221.251,781.78844,
1218.340,776.11313,
1215.430,753.63019,
1212.519,753.29934,
1209.608,757.76185,
1206.698,746.34083,
1203.787,789.4824,
1200.877,765.78009,
1197.966,778.36832,
1195.055,813.12994,
1192.145,811.48657,
1189.234,819.38068,
1186.324,841.36521,
1183.413,866.92387,
1180.503,878.29019,
1177.592,864.95947,
1174.681,851.20889,
1171.771,893.85576,
1168.860,887.60414,
1165.950,829.75345,
1163.039,824.38083,
1160.129,846.28551,
1157.218,858.03853,
1154.307,850.69257,
1151.397,843.12815,
1148.486,846.60516,
1145.576,815.9229,
1142.665,814.14708,
1139.754,787.15025,
1136.844,809.01211,
1133.933,814.54843,
1131.023,813.77677,
1128.112,805.14472,
1125.202,783.20773,
1122.291,790.88546,
1119.380,818.13858,
1116.470,832.25903,
1113.559,840.18599,
1110.649,830.86762,
1107.738,840.53872,
1104.828,841.10092,
1101.917,816.78672,
1099.006,810.76266,
1096.096,850.76367,
1093.185,830.56961,
1090.275,828.19073,
1087.364,831.43061,
1084.453,832.43754,
1081.543,826.74135,
1078.632,816.23927,
1075.722,813.64182,
1072.811,838.06205,
1069.901,838.93531,
1066.990,822.02504,
1064.079,824.12462,
1061.169,835.83682,
1058.258,841.30606,
1055.348,850.46438,
1052.437,879.96786,
1049.527,889.56364,
1046.616,878.26885,
1043.705,884.70765,
1040.795,879.33795,
1037.884,897.25246,
1034.974,923.46907,
1032.063,924.32331,
1029.153,903.51931,
1026.242,907.84409,
1023.331,930.49856,
1020.421,893.17391,
1017.510,899.65214,
1014.600,929.57325,
1011.689,944.85521,
1008.778,947.29322,
1005.868,949.37066,
1002.957,990.66767,
1000.047,1034.128,
997.136,1055.6352,
994.226,1051.6309,
991.315,1047.3069,
988.404,1061.4059,
985.494,1047.3671,
