,PL7E9D~1,
Wavenumbers [1/cm],Intensity,
1806.277,273.39182,
1803.366,294.11782,
1800.456,257.07974,
1797.545,264.77827,
1794.635,283.58898,
1791.724,278.39074,
1788.813,289.54717,
1785.903,263.39741,
1782.992,203.53091,
1780.082,134.79877,
1777.171,-46.939536,
1774.261,-88.084109,
1771.350,65.525533,
1768.439,216.37173,
1765.529,284.02692,
1762.618,310.75,
1759.708,296.44551,
1756.797,308.0303,
1753.887,324.67274,
1750.976,324.87762,
1748.065,329.59332,
1745.155,336.49835,
1742.244,326.50727,
1739.334,313.58765,
1736.423,329.82661,
1733.512,329.74591,
1730.602,331.2381,
1727.691,327.37638,
1724.781,347.77414,
1721.870,360.18813,
1718.960,353.52768,
1716.049,351.75,
1713.138,375.68988,
1710.228,339.71634,
1707.317,354.09514,
1704.407,376.51474,
1701.496,365.07678,
1698.586,356.35812,
1695.675,350.13575,
1692.764,367.73771,
1689.854,344.83266,
1686.943,347.6151,
1684.033,347.75,
1681.122,412.6285,
1678.211,397.90228,
1675.301,425.66366,
1672.390,392.6842,
1669.480,371.10297,
1666.569,415.46097,
1663.659,470.43968,
1660.748,452.21276,
1657.837,475.81561,
1654.927,478.72657,
1652.016,477.7743,
1649.106,478.72552,
1646.195,478.92484,
1643.285,526.95508,
1640.374,535.68728,
1637.463,533.45257,
1634.553,572.415,
1631.642,617.20603,
1628.732,658.81518,
1625.821,669.77159,
1622.911,702.56404,
1620.000,747.18306,
1617.089,808.51617,
1614.179,848.62196,
1611.268,939.29245,
1608.358,1008.5192,
1605.447,1052.2932,
1602.536,1065.9326,
1599.626,1090.6683,
1596.715,1095.4728,
1593.805,1077.8634,
1590.894,1037.8812,
1587.984,1028.4195,
1585.073,977.55181,
1582.162,982.94306,
1579.252,955.47286,
1576.341,920.71278,
1573.431,928.63031,
1570.520,873.89297,
1567.610,876.61307,
1564.699,847.49851,
1561.788,834.45422,
1558.878,829.28789,
1555.967,775.21815,
1553.057,749.38792,
1550.146,759.5827,
1547.235,722.06584,
1544.325,730.7717,
1541.414,766.69063,
1538.504,753.25311,
1535.593,746.94903,
1532.683,734.4021,
1529.772,705.75,
1526.861,710.98027,
1523.951,719.49544,
1521.040,722.46285,
1518.130,739.77141,
1515.219,773.26981,
1512.309,771.0788,
1509.398,735.29769,
1506.487,693.50629,
1503.577,664.27688,
1500.666,688.66737,
1497.756,717.99554,
1494.845,695.4693,
1491.934,664.68071,
1489.024,643.50586,
1486.113,651.09494,
1483.203,634.87481,
1480.292,639.53809,
1477.382,670.65518,
1474.471,614.82492,
1471.560,587.04201,
1468.650,581.70018,
1465.739,570.50216,
1462.829,594.59087,
