,PL63A4~1,
Wavenumbers [1/cm],Intensity,
103.589,25.466692,
100.678,20.564865,
97.767,22.697678,
94.857,17.206088,
91.946,19.18422,
89.036,25.411306,
86.125,23.28369,
83.215,19.564478,
80.304,11.961346,
77.393,-2.2020524,
74.483,5.9218894,
71.572,10.387648,
68.662,9.611465,
65.751,8.1985628,
62.840,7.268298,
59.930,7.4991448,
57.019,10.319473,
54.109,6.5698741,
51.198,6.1628742,
48.288,11.72735,
45.377,8.913838,
42.466,6.9255613,
39.556,5.6348814,
36.645,4.9326912,
33.735,1.1152607,
30.824,-2.029113,
27.914,-1.3279378,
25.003,-0.62736252,
22.092,-0.89580912,
19.182,-2.2271171,
16.271,-1.527627,
13.361,8.8649914,
10.450,-9.2204758,
7.539,-194.97236,
4.629,-534.45729,
1.718,-911.37891,
-1.192,-1250.8883,
-4.103,-944.23238,
-7.013,-499.65791,
-9.924,0.75,
