,PLE8F6~1,
Raman shift [1/cm],Intensity,
1710.228,255.53762,
1707.317,238.57771,
1704.407,249.97596,
1701.496,230.5344,
1698.586,238.66383,
1695.675,196.4574,
1692.764,241.78281,
1689.854,301.90161,
1686.943,237.82707,
1684.033,197.46861,
1681.122,212.22812,
1678.211,255.09075,
1675.301,262.47842,
1672.390,232.69739,
1669.480,298.22725,
1666.569,264.05564,
1663.659,230.46361,
1660.748,288.30718,
1657.837,279.46227,
1654.927,322.19542,
1652.016,309.08692,
1649.106,293.43028,
1646.195,329.73276,
1643.285,299.41146,
1640.374,337.66377,
1637.463,299.25661,
1634.553,340.14533,
1631.642,316.71716,
1628.732,336.34594,
1625.821,310.5229,
1622.911,345.30277,
1620.000,450.16454,
1617.089,424.05722,
1614.179,503.18752,
1611.268,518.97951,
1608.358,529.98495,
1605.447,595.55767,
1602.536,549.1781,
1599.626,597.93617,
1596.715,582.53277,
1593.805,550.98705,
1590.894,589.77217,
1587.984,611.95575,
1585.073,579.61651,
1582.162,550.12319,
1579.252,531.58888,
1576.341,522.09149,
1573.431,533.03079,
1570.520,505.92492,
1567.610,495.00978,
1564.699,498.85018,
1561.788,464.58485,
1558.878,459.05868,
1555.967,461.51801,
1553.057,433.70717,
1550.146,441.23813,
1547.235,440.15151,
1544.325,409.14085,
1541.414,396.74034,
1538.504,415.42788,
1535.593,409.56268,
1532.683,378.31212,
1529.772,370.5187,
1526.861,380.93726,
1523.951,380.06382,
1521.040,349.48231,
1518.130,349.42695,
1515.219,391.90094,
1512.309,365.19822,
1509.398,375.62559,
1506.487,356.65715,
1503.577,377.44625,
1500.666,338.85042,
1497.756,356.66091,
1494.845,345.73958,
1491.934,327.43701,
1489.024,308.18715,
1486.113,310.28165,
1483.203,279.41413,
1480.292,264.46935,
1477.382,269.77423,
1474.471,303.72992,
1471.560,280.84503,
1468.650,288.99821,
1465.739,258.78961,
1462.829,206.06231,
1459.918,223.62187,
1457.008,257.03849,
1454.097,279.3728,
1451.186,279.62766,
1448.276,239.38268,
1445.365,228.07188,
1442.455,218.1941,
1439.544,194.99871,
1436.633,245.53774,
1433.723,200.99246,
1430.812,221.4553,
1427.902,256.53817,
1424.991,174.08284,
1422.081,215.5389,
1419.170,248.87805,
1416.259,121.45972,
1413.349,175.087,
1410.438,199.70088,
1407.528,141.85073,
1404.617,139.26928,
1401.707,181.22756,
1398.796,174.0665,
1395.885,147.80711,
1392.975,129.47821,
1390.064,99.566678,
1387.154,128.73366,
1384.243,118.11858,
1381.332,63.168004,
1378.422,62.528811,
1375.511,101.87361,
1372.601,136.5981,
1369.690,226.07947,
1366.780,236.53982,
1363.869,226.0558,
1360.958,266.73449,
1358.048,265.76753,
1355.137,268.42463,
1352.227,297.85302,
1349.316,317.94361,
1346.406,328.73518,
1343.495,340.72476,
1340.584,361.25009,
1337.674,361.93205,
1334.763,415.11186,
1331.853,404.91232,
1328.942,454.30999,
1326.032,445.81883,
1323.121,486.95787,
1320.210,489.84751,
1317.300,509.47021,
1314.389,506.94404,
1311.479,516.77163,
1308.568,558.09191,
1305.657,560.84755,
1302.747,554.53285,
1299.836,569.44843,
1296.926,590.58546,
1294.015,592.42411,
1291.105,682.31526,
1288.194,668.14148,
1285.283,708.7562,
1282.373,742.05463,
1279.462,758.73514,
1276.552,782.68905,
1273.641,804.01843,
1270.731,797.38507,
1267.820,774.04583,
1264.909,772.12674,
1261.999,798.20041,
1259.088,789.99132,
1256.178,804.05976,
1253.267,820.30952,
1250.356,755.42011,
1247.446,731.30091,
1244.535,735.51786,
1241.625,726.63706,
1238.714,713.07502,
1235.804,694.79619,
1232.893,657.37365,
1229.982,663.62266,
1227.072,667.2439,
1224.161,648.16841,
1221.251,657.15666,
1218.340,625.22253,
1215.430,614.30857,
1212.519,624.21656,
1209.608,615.45123,
1206.698,615.20266,
1203.787,670.2437,
1200.877,626.94874,
1197.966,650.32688,
1195.055,679.6572,
1192.145,679.99194,
1189.234,685.63672,
1186.324,726.04896,
1183.413,748.99238,
1180.503,747.93139,
1177.592,748.46935,
1174.681,700.6952,
1171.771,737.01514,
1168.860,759.34237,
1165.950,709.89747,
1163.039,681.43674,
1160.129,700.45362,
1157.218,721.38442,
1154.307,720.78975,
1151.397,707.98303,
1148.486,686.35301,
1145.576,670.65867,
1142.665,720.38179,
1139.754,695.20937,
1136.844,693.40212,
1133.933,698.43253,
1131.023,714.19078,
1128.112,709.85999,
1125.202,679.81399,
1122.291,695.62264,
1119.380,689.71653,
1116.470,711.77974,
1113.559,701.35477,
1110.649,716.49052,
1107.738,732.394,
1104.828,739.9966,
1101.917,746.16283,
1099.006,742.33531,
1096.096,698.20898,
1093.185,758.79116,
1090.275,735.98481,
1087.364,708.23019,
1084.453,720.43611,
1081.543,724.79159,
1078.632,712.88752,
1075.722,722.31194,
1072.811,722.05847,
1069.901,729.91782,
1066.990,740.19998,
1064.079,741.81949,
1061.169,754.75523,
1058.258,775.24017,
1055.348,785.56042,
1052.437,780.63185,
1049.527,791.3993,
1046.616,788.79281,
1043.705,800.83224,
1040.795,803.22299,
1037.884,812.61475,
1034.974,819.1482,
