,PLE5C1~1,
Wavenumbers [1/cm],Intensity,
1838.293,241.40327,
1835.383,221.6425,
1832.472,231.23587,
1829.562,250.87344,
1826.651,258.74255,
1823.740,248.45544,
1820.830,226.62681,
1817.919,238.47691,
1815.009,240.66253,
1812.098,244.86319,
1809.188,271.6385,
1806.277,242.08322,
1803.366,254.009,
1800.456,233.74893,
1797.545,258.20475,
1794.635,267.27801,
1791.724,277.00602,
1788.813,292.5714,
1785.903,273.40219,
1782.992,233.96214,
1780.082,203.70151,
1777.171,186.35785,
1774.261,146.10048,
1771.350,194.89425,
1768.439,232.76167,
1765.529,281.5593,
1762.618,300.27376,
1759.708,263.0159,
1756.797,267.4053,
1753.887,284.6301,
1750.976,279.39921,
1748.065,279.61617,
1745.155,291.34263,
1742.244,279.84877,
1739.334,245.4103,
1736.423,274.64784,
1733.512,278.2774,
1730.602,285.34327,
1727.691,310.8695,
1724.781,337.03941,
1721.870,294.089,
1718.960,289.77509,
1716.049,297.24782,
1713.138,314.61992,
1710.228,306.93144,
1707.317,316.87443,
1704.407,335.44455,
1701.496,326.43643,
1698.586,303.19937,
1695.675,322.8963,
1692.764,296.92007,
1689.854,290.59153,
1686.943,315.49813,
1684.033,296.87172,
1681.122,364.20252,
1678.211,327.73666,
1675.301,390.18075,
1672.390,348.25836,
1669.480,309.82423,
1666.569,365.92092,
1663.659,408.21168,
1660.748,397.98936,
1657.837,378.28752,
1654.927,374.70301,
1652.016,388.3507,
1649.106,388.08495,
1646.195,416.35102,
1643.285,416.49154,
1640.374,464.33319,
1637.463,462.23088,
1634.553,454.907,
1631.642,490.65731,
1628.732,516.7009,
1625.821,571.36519,
1622.911,556.45953,
1620.000,632.4049,
1617.089,668.65858,
1614.179,725.73934,
1611.268,734.11475,
1608.358,818.25457,
1605.447,859.14673,
1602.536,866.96632,
1599.626,868.29493,
1596.715,886.52702,
1593.805,834.71509,
1590.894,826.61366,
1587.984,859.2865,
1585.073,792.90639,
1582.162,806.25647,
1579.252,768.82334,
1576.341,756.97181,
1573.431,736.01247,
1570.520,724.25998,
1567.610,722.375,
1564.699,698.44902,
1561.788,684.44547,
1558.878,704.90618,
1555.967,659.87916,
1553.057,655.61613,
1550.146,638.6478,
1547.235,602.25553,
1544.325,605.07883,
1541.414,599.63323,
1538.504,609.52372,
1535.593,623.12363,
1532.683,596.83681,
1529.772,582.54992,
1526.861,577.30514,
1523.951,569.06573,
1521.040,594.96698,
1518.130,627.708,
1515.219,642.0163,
1512.309,584.24433,
1509.398,554.25697,
1506.487,590.19391,
1503.577,590.99148,
1500.666,598.69613,
1497.756,587.3583,
1494.845,609.41393,
1491.934,562.25216,
1489.024,524.71494,
1486.113,583.64401,
1483.203,543.96662,
1480.292,560.4363,
1477.382,565.9915,
1474.471,504.98468,
1471.560,502.33965,
1468.650,494.02625,
1465.739,505.30872,
1462.829,526.11771,
1459.918,548.84475,
1457.008,565.43659,
1454.097,556.89673,
1451.186,552.35566,
1448.276,531.32292,
1445.365,466.55273,
1442.455,447.08213,
1439.544,427.08619,
1436.633,446.52098,
1433.723,463.61821,
1430.812,477.01076,
1427.902,448.34464,
